Node	Degree	R[0]	R[0] Rank	R[200]	Rank R[200]	Network_Id	Delta Rank((R[200]-R0))	Delta((R[200]-R0)/R0)
BCL2_HUMAN	137.00	110.97	8	70.83191	8	1	0.0	0.0
TOP1_HUMAN	3.00	2.43	297	1.55106	457	1	160.0	0.5387205387205387
UACA_HUMAN	1.00	0.81	871	0.51702	1830	1	959.0	1.1010332950631458
B2L10_HUMAN	5.00	4.05	149	2.58511	183	1	34.0	0.22818791946308725
BIRC2_HUMAN	6.00	4.86	124	3.10213	124	1	0.0	0.0
E2F7_HUMAN	1.00	0.81	873	0.51702	1832	1	959.0	1.0985108820160367
TFDP1_HUMAN	2.00	1.62	488	1.03404	819	1	331.0	0.6782786885245902
TFDP2_HUMAN	1.00	0.81	872	0.51702	1831	1	959.0	1.099770642201835
BAXA_HUMAN	8.00	6.48	78	4.13617	95	1	17.0	0.21794871794871795
BAX_HUMAN	83.00	67.23	15	42.91277	15	1	0.0	0.0
CASP6_HUMAN	4.00	3.24	204	2.06809	280	1	76.0	0.37254901960784315
P53_HUMAN	753.00	609.93	1	389.31702	1	1	0.0	0.0
HSPB1_HUMAN	8.00	6.48	79	4.13617	89	1	10.0	0.12658227848101267
DBLOH_HUMAN	4.00	3.24	206	2.06809	245	1	39.0	0.18932038834951456
BAD_HUMAN	62.00	50.22	18	32.05532	18	1	0.0	0.0
1433S_HUMAN	4.00	3.24	205	2.06809	288	1	83.0	0.40487804878048783
B2CL2_HUMAN	5.00	4.05	150	2.58511	197	1	47.0	0.31333333333333335
B2LA1_HUMAN	3.00	2.43	300	1.55106	423	1	123.0	0.41
EWS_HUMAN	2.00	1.62	489	1.03404	801	1	312.0	0.6380368098159509
1433E_HUMAN	4.00	3.24	207	2.06809	274	1	67.0	0.32367149758454106
1433G_HUMAN	6.00	4.86	125	3.10213	146	1	21.0	0.168
PAK1_HUMAN	3.00	2.43	298	1.55106	366	1	68.0	0.22818791946308725
KS6A5_HUMAN	3.00	2.43	299	1.55106	328	1	29.0	0.09698996655518395
AKT1_HUMAN	12.00	9.72	56	6.20426	57	1	1.0	0.017857142857142856
KS6A1_HUMAN	1.00	0.81	875	0.51702	1819	1	944.0	1.078857142857143
BCLW_HUMAN	2.00	1.62	491	1.03404	716	1	225.0	0.45824847250509165
BID_HUMAN	66.00	53.46	17	34.12340	17	1	0.0	0.0
CANB1_HUMAN	53.00	42.93	25	27.40213	25	1	0.0	0.0
PP2BC_HUMAN	39.00	31.59	35	20.16383	35	1	0.0	0.0
PIM3_HUMAN	1.00	0.81	874	0.51702	1818	1	944.0	1.080091533180778
KPCI_HUMAN	3.00	2.43	301	1.55106	342	1	41.0	0.1362126245847176
PAK7_HUMAN	2.00	1.62	490	1.03404	605	1	115.0	0.23469387755102042
PIM1_HUMAN	1.00	0.81	877	0.51702	1821	1	944.0	1.0763968072976056
KS6A2_HUMAN	1.00	0.81	876	0.51702	1820	1	944.0	1.0776255707762556
MCL1_HUMAN	6.00	4.86	126	3.10213	136	1	10.0	0.07936507936507936
BFL1_HUMAN	2.00	1.62	493	1.03404	717	1	224.0	0.4543610547667343
SUMO2_HUMAN	4.00	3.24	209	2.06809	283	1	74.0	0.35406698564593303
1433T_HUMAN	4.00	3.24	208	2.06809	289	1	81.0	0.3894230769230769
MK08_HUMAN	10.00	8.10	66	5.17021	66	1	0.0	0.0
KAP0_HUMAN	2.00	1.62	492	1.03404	703	1	211.0	0.42886178861788615
RAF1_HUMAN	7.00	5.67	96	3.61915	116	1	20.0	0.20833333333333334
HRK_HUMAN	3.00	2.43	302	1.55106	418	1	116.0	0.3841059602649007
MK03_HUMAN	8.00	6.48	80	4.13617	93	1	13.0	0.1625
1433Z_HUMAN	5.00	4.05	152	2.58511	186	1	34.0	0.2236842105263158
S10AA_HUMAN	1.00	0.81	878	0.51702	1822	1	944.0	1.0751708428246014
SYUA_HUMAN	5.00	4.05	151	2.58511	177	1	26.0	0.17218543046357615
1433F_HUMAN	2.00	1.62	494	1.03404	682	1	188.0	0.3805668016194332
PIM2_HUMAN	1.00	0.81	879	0.51702	1823	1	944.0	1.0739476678043232
B2L11_HUMAN	4.00	3.24	212	2.06809	246	1	34.0	0.16037735849056603
WASF1_HUMAN	2.00	1.62	495	1.03404	606	1	111.0	0.22424242424242424
MP2K5_HUMAN	1.00	0.81	881	0.51702	1825	1	944.0	1.0715096481271282
TERA_HUMAN	4.00	3.24	211	2.06809	287	1	76.0	0.36018957345971564
KAPCA_HUMAN	5.00	4.05	153	2.58511	175	1	22.0	0.1437908496732026
MK09_HUMAN	3.00	2.43	303	1.55106	453	1	150.0	0.49504950495049505
PRDX2_HUMAN	1.00	0.81	880	0.51702	1824	1	944.0	1.0727272727272728
CDN1A_HUMAN	4.00	3.24	210	2.06809	275	1	65.0	0.30952380952380953
PP2BA_HUMAN	89.00	72.09	14	46.01489	14	1	0.0	0.0
NAF1_HUMAN	3.00	2.43	304	1.55106	419	1	115.0	0.3782894736842105
CANB2_HUMAN	30.00	24.30	44	15.51064	44	1	0.0	0.0
CHP1_HUMAN	38.00	30.78	38	19.64681	38	1	0.0	0.0
CHP2_HUMAN	34.00	27.54	40	17.57872	40	1	0.0	0.0
KAP1_HUMAN	1.00	0.81	883	0.51702	1827	1	944.0	1.0690826727066818
PRKX_HUMAN	1.00	0.81	882	0.51702	1826	1	944.0	1.0702947845804989
NGF_HUMAN	4.00	3.24	213	2.06809	211	1	-2.0	-0.009389671361502348
KS6A3_HUMAN	5.00	4.05	159	2.58511	166	1	7.0	0.0440251572327044
MK01_HUMAN	13.00	10.53	53	6.72128	54	1	1.0	0.018867924528301886
TNR16_HUMAN	5.00	4.05	158	2.58511	178	1	20.0	0.12658227848101267
BBC3B_HUMAN	5.00	4.05	157	2.58511	199	1	42.0	0.267515923566879
BBC3_HUMAN	5.00	4.05	156	2.58511	198	1	42.0	0.2692307692307692
BAK_HUMAN	5.00	4.05	155	2.58511	200	1	45.0	0.2903225806451613
ERN1_HUMAN	5.00	4.05	154	2.58511	165	1	11.0	0.07142857142857142
KCNA3_HUMAN	1.00	0.81	884	0.51702	1739	1	855.0	0.9671945701357466
MOAP1_HUMAN	3.00	2.43	306	1.55106	373	1	67.0	0.21895424836601307
SHLB1_HUMAN	1.00	0.81	887	0.51702	1742	1	855.0	0.963923337091319
VDAC1_HUMAN	3.00	2.43	305	1.55106	420	1	115.0	0.3770491803278688
XRCC6_HUMAN	2.00	1.62	496	1.03404	802	1	306.0	0.6169354838709677
ADT1_HUMAN	1.00	0.81	886	0.51702	1741	1	855.0	0.9650112866817155
APR_HUMAN	4.00	3.24	214	2.06809	290	1	76.0	0.35514018691588783
CRYAA_HUMAN	1.00	0.81	885	0.51702	1740	1	855.0	0.9661016949152542
CRYAB_HUMAN	5.00	4.05	160	2.58511	187	1	27.0	0.16875
R144B_HUMAN	3.00	2.43	310	1.55106	478	1	168.0	0.5419354838709678
PARK7_HUMAN	5.00	4.05	163	2.58511	202	1	39.0	0.2392638036809816
UHRF2_HUMAN	2.00	1.62	500	1.03404	804	1	304.0	0.608
CH60_HUMAN	4.00	3.24	215	2.06809	281	1	66.0	0.30697674418604654
TOM40_HUMAN	25.00	20.25	50	12.92553	50	1	0.0	0.0
ASC_HUMAN	3.00	2.43	311	1.55106	479	1	168.0	0.5401929260450161
NOL3_HUMAN	1.00	0.81	888	0.51702	1743	1	855.0	0.9628378378378378
UBC_HUMAN	28.00	22.68	46	14.47660	47	1	1.0	0.021739130434782608
MYC_HUMAN	5.00	4.05	161	2.58511	192	1	31.0	0.19254658385093168
PRS6A_HUMAN	3.00	2.43	307	1.55106	472	1	165.0	0.5374592833876222
HDAC6_HUMAN	2.00	1.62	497	1.03404	704	1	207.0	0.4164989939637827
PRS8_HUMAN	3.00	2.43	308	1.55106	473	1	165.0	0.5357142857142857
TOM22_HUMAN	2.00	1.62	499	1.03404	705	1	206.0	0.41282565130260523
JMY_HUMAN	2.00	1.62	498	1.03404	803	1	305.0	0.6124497991967871
TF65_HUMAN	5.00	4.05	162	2.58511	156	1	-6.0	-0.037037037037037035
ASPP2_HUMAN	3.00	2.43	309	1.55106	474	1	165.0	0.5339805825242718
ASPP1_HUMAN	1.00	0.81	891	0.51702	1746	1	855.0	0.9595959595959596
EP300_HUMAN	4.00	3.24	218	2.06809	264	1	46.0	0.21100917431192662
CBP_HUMAN	7.00	5.67	97	3.61915	119	1	22.0	0.2268041237113402
SP1_HUMAN	5.00	4.05	164	2.58511	179	1	15.0	0.09146341463414634
PO4F1_HUMAN	1.00	0.81	892	0.51702	1747	1	855.0	0.9585201793721974
CLUS_HUMAN	2.00	1.62	502	1.03404	683	1	181.0	0.3605577689243028
MAX_HUMAN	4.00	3.24	219	2.06809	272	1	53.0	0.2420091324200913
PO4F2_HUMAN	1.00	0.81	893	0.51702	1748	1	855.0	0.9574468085106383
HUNIN_HUMAN	1.00	0.81	889	0.51702	1744	1	855.0	0.9617547806524185
BI1_HUMAN	3.00	2.43	312	1.55106	421	1	109.0	0.34935897435897434
XRCC5_HUMAN	2.00	1.62	501	1.03404	805	1	304.0	0.6067864271457086
KPCE_HUMAN	4.00	3.24	216	2.06809	252	1	36.0	0.16666666666666666
JUN_HUMAN	11.00	8.91	60	5.68723	62	1	2.0	0.03333333333333333
UVRAG_HUMAN	1.00	0.81	890	0.51702	1745	1	855.0	0.9606741573033708
PIN1_HUMAN	4.00	3.24	217	2.06809	291	1	74.0	0.34101382488479265
GSK3B_HUMAN	3.00	2.43	313	1.55106	454	1	141.0	0.4504792332268371
TOM20_HUMAN	3.00	2.43	315	1.55106	413	1	98.0	0.3111111111111111
APRIO_HUMAN	2.00	1.62	504	1.03404	684	1	180.0	0.35714285714285715
PRIO_HUMAN	3.00	2.43	314	1.55106	412	1	98.0	0.31210191082802546
IRF3_HUMAN	1.00	0.81	895	0.51702	1749	1	854.0	0.9541899441340782
SIR1_HUMAN	2.00	1.62	505	1.03404	806	1	301.0	0.596039603960396
BRD7_HUMAN	3.00	2.43	317	1.55106	480	1	163.0	0.5141955835962145
PK3CD_HUMAN	4.00	3.24	222	2.06809	228	1	6.0	0.02702702702702703
CTBP1_HUMAN	3.00	2.43	316	1.55106	475	1	159.0	0.5031645569620253
PK3CA_HUMAN	6.00	4.86	127	3.10213	126	1	-1.0	-0.007874015748031496
PK3CB_HUMAN	4.00	3.24	221	2.06809	227	1	6.0	0.027149321266968326
PK3CG_HUMAN	4.00	3.24	220	2.06809	226	1	6.0	0.02727272727272727
TNFA_HUMAN	160.00	129.60	6	82.72340	6	1	0.0	0.0
PARG_HUMAN	2.00	1.62	503	1.03404	585	1	82.0	0.16302186878727634
GPX1_HUMAN	41.00	33.21	33	21.19787	33	1	0.0	0.0
VEGFA_HUMAN	148.00	119.88	7	76.51915	7	1	0.0	0.0
BECN1_HUMAN	1.00	0.81	894	0.51702	1522	1	628.0	0.7024608501118568
BIK_HUMAN	2.00	1.62	509	1.03404	708	1	199.0	0.39096267190569745
BMF_HUMAN	1.00	0.81	901	0.51702	1528	1	627.0	0.6958934517203108
BNIPL_HUMAN	1.00	0.81	899	0.51702	1526	1	627.0	0.6974416017797553
RAD9A_HUMAN	1.00	0.81	900	0.51702	1527	1	627.0	0.6966666666666667
SEC20_HUMAN	1.00	0.81	903	0.51702	1530	1	627.0	0.6943521594684385
SMN_HUMAN	173.00	140.13	5	89.44468	5	1	0.0	0.0
SPNS1_HUMAN	2.00	1.62	510	1.03404	685	1	175.0	0.3431372549019608
BFAR_HUMAN	1.00	0.81	902	0.51702	1529	1	627.0	0.6951219512195121
PRKN2_HUMAN	4.00	3.24	223	2.06809	241	1	18.0	0.08071748878923767
TPIP1_HUMAN	2.00	1.62	508	1.03404	787	1	279.0	0.5492125984251969
BIM_HUMAN	2.00	1.62	506	1.03404	706	1	200.0	0.3952569169960474
BAG1_HUMAN	2.00	1.62	507	1.03404	707	1	200.0	0.39447731755424065
AMRA1_HUMAN	1.00	0.81	897	0.51702	1524	1	627.0	0.6989966555183946
PPID_HUMAN	1.00	0.81	898	0.51702	1525	1	627.0	0.6982182628062361
CPT1A_HUMAN	1.00	0.81	896	0.51702	1523	1	627.0	0.6997767857142857
PP1B_HUMAN	5.00	4.05	165	2.58511	176	1	11.0	0.06666666666666667
CAN2_HUMAN	2.00	1.62	515	1.03404	658	1	143.0	0.27766990291262134
PPIF_HUMAN	2.00	1.62	514	1.03404	789	1	275.0	0.5350194552529183
BAG3_HUMAN	4.00	3.24	228	2.06809	259	1	31.0	0.13596491228070176
KEAP1_HUMAN	2.00	1.62	516	1.03404	659	1	143.0	0.2771317829457364
MDM4_HUMAN	3.00	2.43	320	1.55106	448	1	128.0	0.4
NMT2_HUMAN	4.00	3.24	226	2.06809	265	1	39.0	0.17256637168141592
CDK1_HUMAN	2.00	1.62	513	1.03404	788	1	275.0	0.5360623781676414
BAK2_HUMAN	4.00	3.24	227	2.06809	262	1	35.0	0.15418502202643172
BCLF1_HUMAN	1.00	0.81	904	0.51702	1531	1	627.0	0.6935840707964602
IRS1_HUMAN	3.00	2.43	319	1.55106	367	1	48.0	0.15047021943573669
MYB_HUMAN	4.00	3.24	225	2.06809	282	1	57.0	0.25333333333333335
BAG4_HUMAN	4.00	3.24	224	2.06809	229	1	5.0	0.022321428571428572
BNIP3_HUMAN	2.00	1.62	511	1.03404	709	1	198.0	0.38747553816046965
PSN1_HUMAN	5.00	4.05	166	2.58511	194	1	28.0	0.1686746987951807
RTN4_HUMAN	2.00	1.62	512	1.03404	710	1	198.0	0.38671875
B2L14_HUMAN	3.00	2.43	318	1.55106	481	1	163.0	0.5125786163522013
PP1G_HUMAN	7.00	5.67	98	3.61915	120	1	22.0	0.22448979591836735
BNI3L_HUMAN	3.00	2.43	322	1.55106	482	1	160.0	0.4968944099378882
VRK2_HUMAN	2.00	1.62	522	1.03404	790	1	268.0	0.5134099616858238
PML_HUMAN	6.00	4.86	128	3.10213	143	1	15.0	0.1171875
PAXI_HUMAN	3.00	2.43	321	1.55106	324	1	3.0	0.009345794392523364
CREB1_HUMAN	5.00	4.05	168	2.58511	188	1	20.0	0.11904761904761904
DYL1_HUMAN	2.00	1.62	520	1.03404	660	1	140.0	0.2692307692307692
IRS2_HUMAN	2.00	1.62	521	1.03404	711	1	190.0	0.3646833013435701
SPB8_HUMAN	1.00	0.81	906	0.51702	1533	1	627.0	0.6920529801324503
CISD2_HUMAN	1.00	0.81	907	0.51702	1534	1	627.0	0.6912899669239251
CUL3_HUMAN	2.00	1.62	518	1.03404	720	1	202.0	0.38996138996138996
RBX1_HUMAN	2.00	1.62	519	1.03404	571	1	52.0	0.1001926782273603
BNIP2_HUMAN	4.00	3.24	229	2.06809	230	1	1.0	0.004366812227074236
RXRA_HUMAN	2.00	1.62	517	1.03404	566	1	49.0	0.09477756286266925
BAP31_HUMAN	5.00	4.05	167	2.58511	170	1	3.0	0.017964071856287425
RXRG_HUMAN	1.00	0.81	905	0.51702	1532	1	627.0	0.6928176795580111
MTOR_HUMAN	3.00	2.43	324	1.55106	455	1	131.0	0.404320987654321
IL7_HUMAN	1.00	0.81	911	0.51702	1538	1	627.0	0.6882546652030735
BCN1_HUMAN	2.00	1.62	525	1.03404	712	1	187.0	0.35619047619047617
BLK_HUMAN	3.00	2.43	323	1.55106	318	1	-5.0	-0.015479876160990712
PARP1_HUMAN	5.00	4.05	169	2.58511	195	1	26.0	0.15384615384615385
PP2AA_HUMAN	8.00	6.48	82	4.13617	94	1	12.0	0.14634146341463414
SODC_HUMAN	44.00	35.64	30	22.74894	30	1	0.0	0.0
RRAS_HUMAN	2.00	1.62	524	1.03404	587	1	63.0	0.12022900763358779
MK11_HUMAN	104.00	84.24	10	53.77021	10	1	0.0	0.0
KPCA_HUMAN	10.00	8.10	67	5.17021	69	1	2.0	0.029850746268656716
BRCA1_HUMAN	4.00	3.24	230	2.06809	276	1	46.0	0.2
RASN_HUMAN	2.00	1.62	523	1.03404	586	1	63.0	0.12045889101338432
IKZF3_HUMAN	1.00	0.81	910	0.51702	1537	1	627.0	0.689010989010989
ZBT17_HUMAN	1.00	0.81	909	0.51702	1536	1	627.0	0.6897689768976898
ATG12_HUMAN	1.00	0.81	908	0.51702	1535	1	627.0	0.6905286343612335
RASH_HUMAN	8.00	6.48	81	4.13617	92	1	11.0	0.13580246913580246
ITM2B_HUMAN	1.00	0.81	916	0.51702	1543	1	627.0	0.6844978165938864
MK14_HUMAN	270.00	218.70	3	139.59574	3	1	0.0	0.0
NR4A1_HUMAN	2.00	1.62	530	1.03404	792	1	262.0	0.49433962264150944
RASK_HUMAN	1.00	0.81	915	0.51702	1542	1	627.0	0.6852459016393443
CDK2_HUMAN	2.00	1.62	528	1.03404	791	1	263.0	0.4981060606060606
AT2A2_HUMAN	2.00	1.62	529	1.03404	588	1	59.0	0.11153119092627599
IL7RA_HUMAN	1.00	0.81	914	0.51702	1541	1	627.0	0.6859956236323851
FKBP8_HUMAN	2.00	1.62	527	1.03404	557	1	30.0	0.056925996204933584
2A5A_HUMAN	2.00	1.62	526	1.03404	686	1	160.0	0.3041825095057034
BLID_HUMAN	1.00	0.81	913	0.51702	1540	1	627.0	0.6867469879518072
IKKA_HUMAN	4.00	3.24	232	2.06809	269	1	37.0	0.15948275862068967
IKKB_HUMAN	5.00	4.05	170	2.58511	180	1	10.0	0.058823529411764705
NEMO_HUMAN	4.00	3.24	231	2.06809	231	1	0.0	0.0
SQSTM_HUMAN	10.00	8.10	68	5.17021	68	1	0.0	0.0
STAT1_HUMAN	6.00	4.86	129	3.10213	121	1	-8.0	-0.06201550387596899
SF01_HUMAN	1.00	0.81	912	0.51702	1539	1	627.0	0.6875
GATA4_HUMAN	1.00	0.81	923	0.51702	1544	1	621.0	0.6728060671722643
ITPR1_HUMAN	1.00	0.81	924	0.51702	1545	1	621.0	0.672077922077922
BNIP1_HUMAN	2.00	1.62	535	1.03404	713	1	178.0	0.33271028037383177
IL2RG_HUMAN	3.00	2.43	327	1.55106	319	1	-8.0	-0.024464831804281346
JAK3_HUMAN	4.00	3.24	236	2.06809	212	1	-24.0	-0.1016949152542373
CFLAR_HUMAN	4.00	3.24	237	2.06809	285	1	48.0	0.20253164556962025
RTN1_HUMAN	1.00	0.81	925	0.51702	1839	1	914.0	0.9881081081081081
PSN2_HUMAN	3.00	2.43	328	1.55106	364	1	36.0	0.10975609756097561
B2L12_HUMAN	1.00	0.81	928	0.51702	1842	1	914.0	0.9849137931034483
PDCD8_HUMAN	2.00	1.62	536	1.03404	718	1	182.0	0.33955223880597013
AIOL_HUMAN	1.00	0.81	926	0.51702	1840	1	914.0	0.9870410367170627
ANTR1_HUMAN	1.00	0.81	927	0.51702	1841	1	914.0	0.9859762675296656
SIVA_HUMAN	2.00	1.62	538	1.03404	823	1	285.0	0.5297397769516728
BAXB_HUMAN	1.00	0.81	930	0.51702	1844	1	914.0	0.9827956989247312
Q8WYM0_HUMAN	1.00	0.81	929	0.51702	1843	1	914.0	0.9838536060279871
RFA1_HUMAN	2.00	1.62	537	1.03404	822	1	285.0	0.5307262569832403
CSK21_HUMAN	3.00	2.43	325	1.55106	446	1	121.0	0.3723076923076923
CAV1_HUMAN	7.00	5.67	99	3.61915	117	1	18.0	0.18181818181818182
CSK22_HUMAN	2.00	1.62	531	1.03404	567	1	36.0	0.06779661016949153
CSK2B_HUMAN	4.00	3.24	233	2.06809	273	1	40.0	0.17167381974248927
KC1E_HUMAN	2.00	1.62	532	1.03404	820	1	288.0	0.5413533834586466
GRAB_HUMAN	3.00	2.43	326	1.55106	359	1	33.0	0.10122699386503067
CRNL1_HUMAN	1.00	0.81	917	0.51702	1833	1	916.0	0.9989094874591058
KC1A_HUMAN	4.00	3.24	234	2.06809	284	1	50.0	0.21367521367521367
NMT1_HUMAN	2.00	1.62	533	1.03404	821	1	288.0	0.5403377110694184
G3P_HUMAN	4.00	3.24	235	2.06809	277	1	42.0	0.17872340425531916
PKHM1_HUMAN	1.00	0.81	919	0.51702	1835	1	916.0	0.9967355821545157
DPYL1_HUMAN	1.00	0.81	918	0.51702	1834	1	916.0	0.9978213507625272
ERG28_HUMAN	1.00	0.81	922	0.51702	1838	1	916.0	0.9934924078091106
FBN3_HUMAN	1.00	0.81	921	0.51702	1837	1	916.0	0.99457111834962
GBP2_HUMAN	1.00	0.81	920	0.51702	1836	1	916.0	0.9956521739130435
RBM48_HUMAN	2.00	1.62	534	1.03404	589	1	55.0	0.10299625468164794
SETB1_HUMAN	2.00	1.62	541	1.03404	590	1	49.0	0.09057301293900184
TBB2B_HUMAN	1.00	0.81	935	0.51702	1845	1	910.0	0.9732620320855615
TLE1_HUMAN	2.00	1.62	542	1.03404	591	1	49.0	0.09040590405904059
ZHX1_HUMAN	2.00	1.62	543	1.03404	824	1	281.0	0.5174953959484346
ITCH_HUMAN	2.00	1.62	544	1.03404	825	1	281.0	0.5165441176470589
RFA2_HUMAN	1.00	0.81	936	0.51702	1846	1	910.0	0.9722222222222222
TNFL6_HUMAN	5.00	4.05	171	2.58511	172	1	1.0	0.005847953216374269
CASPA_HUMAN	5.00	4.05	172	2.58511	190	1	18.0	0.10465116279069768
TNR1A_HUMAN	132.00	106.92	9	68.24681	9	1	0.0	0.0
ATR_HUMAN	2.00	1.62	545	1.03404	826	1	281.0	0.5155963302752293
CATD_HUMAN	2.00	1.62	546	1.03404	827	1	281.0	0.5146520146520146
CASP1_HUMAN	55.00	44.55	23	28.43617	23	1	0.0	0.0
CASP2_HUMAN	5.00	4.05	173	2.58511	163	1	-10.0	-0.057803468208092484
TRADD_HUMAN	6.00	4.86	131	3.10213	133	1	2.0	0.015267175572519083
RIPK1_HUMAN	7.00	5.67	100	3.61915	98	1	-2.0	-0.02
CRADD_HUMAN	3.00	2.43	333	1.55106	374	1	41.0	0.12312312312312312
M3K5_HUMAN	95.00	76.95	11	49.11702	11	1	0.0	0.0
EZRI_HUMAN	2.00	1.62	539	1.03404	627	1	88.0	0.16326530612244897
FADD_HUMAN	6.00	4.86	130	3.10213	129	1	-1.0	-0.007692307692307693
GDIR1_HUMAN	3.00	2.43	329	1.55106	343	1	14.0	0.0425531914893617
MOES_HUMAN	2.00	1.62	540	1.03404	628	1	88.0	0.16296296296296298
RHOA_HUMAN	3.00	2.43	330	1.55106	344	1	14.0	0.04242424242424243
ATM_HUMAN	4.00	3.24	238	2.06809	278	1	40.0	0.16806722689075632
RPB9_HUMAN	1.00	0.81	931	0.51702	1546	1	615.0	0.6605800214822771
CALM_HUMAN	13.00	10.53	54	6.72128	53	1	-1.0	-0.018518518518518517
PPIA_HUMAN	3.00	2.43	331	1.55106	414	1	83.0	0.25075528700906347
CABP5_HUMAN	1.00	0.81	933	0.51702	1548	1	615.0	0.6591639871382636
CABP1_HUMAN	1.00	0.81	932	0.51702	1547	1	615.0	0.6598712446351931
PSA7_HUMAN	1.00	0.81	934	0.51702	1549	1	615.0	0.658458244111349
FKB1A_HUMAN	3.00	2.43	332	1.55106	417	1	85.0	0.2560240963855422
CALL3_HUMAN	8.00	6.48	84	4.13617	84	1	0.0	0.0
PLCB4_HUMAN	8.00	6.48	83	4.13617	83	1	0.0	0.0
PDE4D_HUMAN	3.00	2.43	336	1.55106	416	1	80.0	0.23809523809523808
PLCG1_HUMAN	12.00	9.72	57	6.20426	58	1	1.0	0.017543859649122806
PLCG2_HUMAN	7.00	5.67	109	3.61915	111	1	2.0	0.01834862385321101
CABP2_HUMAN	1.00	0.81	938	0.51702	1550	1	612.0	0.652452025586354
