Node	Degree	R[0]	R[0] Rank	R[200]	Rank R[200]	Network_Id	Delta Rank((R[200]-R0))	Delta((R[200]-R0)/R0)
PP1B_HUMAN	5.00	4.05	165	0.00025	249	1	84.0	0.509090909090909
CAN2_HUMAN	2.00	1.62	515	0.00014	812	1	297.0	0.5766990291262136
PPIF_HUMAN	2.00	1.62	514	0.00017	635	1	121.0	0.23540856031128404
BAG3_HUMAN	4.00	3.24	228	0.00026	225	1	-3.0	0.013157894736842105
KEAP1_HUMAN	2.00	1.62	516	0.00017	622	1	106.0	0.2054263565891473
MDM4_HUMAN	3.00	2.43	320	0.00021	348	1	28.0	0.0875
NMT2_HUMAN	4.00	3.24	226	0.00029	169	1	-57.0	0.252212389380531
CDK1_HUMAN	2.00	1.62	513	0.00017	634	1	121.0	0.23586744639376217
BAK2_HUMAN	4.00	3.24	227	0.00023	276	1	49.0	0.21585903083700442
BCLF1_HUMAN	1.00	0.81	904	0.00011	2202	1	1298.0	1.4358407079646018
IRS1_HUMAN	3.00	2.43	319	0.00019	431	1	112.0	0.3510971786833856
MYB_HUMAN	4.00	3.24	225	0.00024	258	1	33.0	0.14666666666666667
BAG4_HUMAN	4.00	3.24	224	0.00024	266	1	42.0	0.1875
BNIP3_HUMAN	2.00	1.62	511	0.00015	798	1	287.0	0.5616438356164384
PSN1_HUMAN	5.00	4.05	166	0.00030	150	1	-16.0	0.0963855421686747
RTN4_HUMAN	2.00	1.62	512	0.00015	799	1	287.0	0.560546875
B2L14_HUMAN	3.00	2.43	318	0.00021	374	1	56.0	0.1761006289308176
PP1G_HUMAN	7.00	5.67	98	0.00035	102	1	4.0	0.04081632653061224
BNI3L_HUMAN	3.00	2.43	322	0.00021	375	1	53.0	0.16459627329192547
VRK2_HUMAN	2.00	1.62	522	0.00017	636	1	114.0	0.21839080459770116
PML_HUMAN	6.00	4.86	128	0.00036	97	1	-31.0	0.2421875
PAXI_HUMAN	3.00	2.43	321	0.00021	372	1	51.0	0.1588785046728972
CREB1_HUMAN	5.00	4.05	168	0.00030	149	1	-19.0	0.1130952380952381
DYL1_HUMAN	2.00	1.62	520	0.00016	707	1	187.0	0.3596153846153846
IRS2_HUMAN	2.00	1.62	521	0.00015	800	1	279.0	0.5355086372360844
SPB8_HUMAN	1.00	0.81	906	0.00011	2204	1	1298.0	1.4326710816777042
CISD2_HUMAN	1.00	0.81	907	0.00011	2205	1	1298.0	1.4310915104740904
CUL3_HUMAN	2.00	1.62	518	0.00016	717	1	199.0	0.3841698841698842
RBX1_HUMAN	2.00	1.62	519	0.00015	743	1	224.0	0.43159922928709055
BNIP2_HUMAN	4.00	3.24	229	0.00022	293	1	64.0	0.2794759825327511
RXRA_HUMAN	2.00	1.62	517	0.00018	538	1	21.0	0.04061895551257253
BAP31_HUMAN	5.00	4.05	167	0.00031	145	1	-22.0	0.1317365269461078
RXRG_HUMAN	1.00	0.81	905	0.00011	2203	1	1298.0	1.434254143646409
MTOR_HUMAN	3.00	2.43	324	0.00022	337	1	13.0	0.040123456790123455
IL7_HUMAN	1.00	0.81	911	0.00011	2209	1	1298.0	1.424807903402854
BCN1_HUMAN	2.00	1.62	525	0.00015	801	1	276.0	0.5257142857142857
BLK_HUMAN	3.00	2.43	323	0.00019	459	1	136.0	0.42105263157894735
PARP1_HUMAN	5.00	4.05	169	0.00032	137	1	-32.0	0.1893491124260355
PP2AA_HUMAN	8.00	6.48	82	0.00038	91	1	9.0	0.10975609756097561
SODC_HUMAN	44.00	35.64	30	0.00298	26	1	-4.0	0.13333333333333333
RRAS_HUMAN	2.00	1.62	524	0.00016	687	1	163.0	0.3110687022900763
MK11_HUMAN	104.00	84.24	10	0.00517	11	1	1.0	0.1
KPCA_HUMAN	10.00	8.10	67	0.00053	61	1	-6.0	0.08955223880597014
BRCA1_HUMAN	4.00	3.24	230	0.00025	234	1	4.0	0.017391304347826087
RASN_HUMAN	2.00	1.62	523	0.00016	686	1	163.0	0.31166347992351817
IKZF3_HUMAN	1.00	0.81	910	0.00011	2208	1	1298.0	1.4263736263736264
ZBT17_HUMAN	1.00	0.81	909	0.00011	2207	1	1298.0	1.427942794279428
ATG12_HUMAN	1.00	0.81	908	0.00011	2206	1	1298.0	1.4295154185022025
RASH_HUMAN	8.00	6.48	81	0.00042	84	1	3.0	0.037037037037037035
ITM2B_HUMAN	1.00	0.81	916	0.00011	2214	1	1298.0	1.4170305676855894
MK14_HUMAN	270.00	218.70	3	0.01609	3	1	0.0	0.0
NR4A1_HUMAN	2.00	1.62	530	0.00017	638	1	108.0	0.2037735849056604
RASK_HUMAN	1.00	0.81	915	0.00011	2213	1	1298.0	1.4185792349726776
CDK2_HUMAN	2.00	1.62	528	0.00017	637	1	109.0	0.20643939393939395
AT2A2_HUMAN	2.00	1.62	529	0.00015	737	1	208.0	0.3931947069943289
IL7RA_HUMAN	1.00	0.81	914	0.00011	2212	1	1298.0	1.4201312910284465
FKBP8_HUMAN	2.00	1.62	527	0.00015	753	1	226.0	0.428842504743833
2A5A_HUMAN	2.00	1.62	526	0.00014	819	1	293.0	0.5570342205323194
BLID_HUMAN	1.00	0.81	913	0.00011	2211	1	1298.0	1.4216867469879517
IKKA_HUMAN	4.00	3.24	232	0.00026	218	1	-14.0	0.0603448275862069
IKKB_HUMAN	5.00	4.05	170	0.00031	148	1	-22.0	0.12941176470588237
NEMO_HUMAN	4.00	3.24	231	0.00023	272	1	41.0	0.1774891774891775
SQSTM_HUMAN	10.00	8.10	68	0.00052	64	1	-4.0	0.058823529411764705
STAT1_HUMAN	6.00	4.86	129	0.00035	104	1	-25.0	0.1937984496124031
SF01_HUMAN	1.00	0.81	912	0.00011	2210	1	1298.0	1.4232456140350878
GATA4_HUMAN	1.00	0.81	923	0.00011	2215	1	1292.0	1.399783315276273
ITPR1_HUMAN	1.00	0.81	924	0.00011	2216	1	1292.0	1.3982683982683983
BNIP1_HUMAN	2.00	1.62	535	0.00015	802	1	267.0	0.49906542056074765
IL2RG_HUMAN	3.00	2.43	327	0.00019	460	1	133.0	0.40672782874617736
JAK3_HUMAN	4.00	3.24	236	0.00024	265	1	29.0	0.1228813559322034
CFLAR_HUMAN	4.00	3.24	237	0.00027	209	1	-28.0	0.11814345991561181
RTN1_HUMAN	1.00	0.81	925	0.00010	2251	1	1326.0	1.4335135135135135
PSN2_HUMAN	3.00	2.43	328	0.00020	425	1	97.0	0.29573170731707316
B2L12_HUMAN	1.00	0.81	928	0.00010	2254	1	1326.0	1.4288793103448276
PDCD8_HUMAN	2.00	1.62	536	0.00015	764	1	228.0	0.4253731343283582
AIOL_HUMAN	1.00	0.81	926	0.00010	2252	1	1326.0	1.431965442764579
ANTR1_HUMAN	1.00	0.81	927	0.00010	2253	1	1326.0	1.4304207119741101
SIVA_HUMAN	2.00	1.62	538	0.00017	660	1	122.0	0.22676579925650558
BAXB_HUMAN	1.00	0.81	930	0.00010	2256	1	1326.0	1.4258064516129032
Q8WYM0_HUMAN	1.00	0.81	929	0.00010	2255	1	1326.0	1.4273412271259418
RFA1_HUMAN	2.00	1.62	537	0.00017	651	1	114.0	0.2122905027932961
CSK21_HUMAN	3.00	2.43	325	0.00021	356	1	31.0	0.09538461538461539
CAV1_HUMAN	7.00	5.67	99	0.00043	82	1	-17.0	0.1717171717171717
CSK22_HUMAN	2.00	1.62	531	0.00015	756	1	225.0	0.423728813559322
CSK2B_HUMAN	4.00	3.24	233	0.00024	259	1	26.0	0.11158798283261803
KC1E_HUMAN	2.00	1.62	532	0.00017	649	1	117.0	0.2199248120300752
GRAB_HUMAN	3.00	2.43	326	0.00019	448	1	122.0	0.37423312883435583
CRNL1_HUMAN	1.00	0.81	917	0.00010	2228	1	1311.0	1.4296619411123228
KC1A_HUMAN	4.00	3.24	234	0.00026	228	1	-6.0	0.02564102564102564
NMT1_HUMAN	2.00	1.62	533	0.00017	650	1	117.0	0.21951219512195122
G3P_HUMAN	4.00	3.24	235	0.00027	205	1	-30.0	0.1276595744680851
PKHM1_HUMAN	1.00	0.81	919	0.00010	2230	1	1311.0	1.426550598476605
DPYL1_HUMAN	1.00	0.81	918	0.00010	2229	1	1311.0	1.4281045751633987
ERG28_HUMAN	1.00	0.81	922	0.00010	2233	1	1311.0	1.4219088937093276
FBN3_HUMAN	1.00	0.81	921	0.00010	2232	1	1311.0	1.4234527687296417
GBP2_HUMAN	1.00	0.81	920	0.00010	2231	1	1311.0	1.425
RBM48_HUMAN	2.00	1.62	534	0.00018	546	1	12.0	0.02247191011235955
SETB1_HUMAN	2.00	1.62	541	0.00018	547	1	6.0	0.011090573012939002
TBB2B_HUMAN	1.00	0.81	935	0.00010	2234	1	1299.0	1.3893048128342247
TLE1_HUMAN	2.00	1.62	542	0.00018	548	1	6.0	0.01107011070110701
ZHX1_HUMAN	2.00	1.62	543	0.00017	652	1	109.0	0.2007366482504604
ITCH_HUMAN	2.00	1.62	544	0.00017	653	1	109.0	0.20036764705882354
RFA2_HUMAN	1.00	0.81	936	0.00010	2235	1	1299.0	1.3878205128205128
TNFL6_HUMAN	5.00	4.05	171	0.00028	175	1	4.0	0.023391812865497075
CASPA_HUMAN	5.00	4.05	172	0.00030	154	1	-18.0	0.10465116279069768
TNR1A_HUMAN	132.00	106.92	9	0.00751	8	1	-1.0	0.1111111111111111
ATR_HUMAN	2.00	1.62	545	0.00017	654	1	109.0	0.2
CATD_HUMAN	2.00	1.62	546	0.00017	655	1	109.0	0.19963369963369965
CASP1_HUMAN	55.00	44.55	23	0.00328	23	1	0.0	0.0
CASP2_HUMAN	5.00	4.05	173	0.00028	172	1	-1.0	0.005780346820809248
TRADD_HUMAN	6.00	4.86	131	0.00032	134	1	3.0	0.022900763358778626
RIPK1_HUMAN	7.00	5.67	100	0.00036	98	1	-2.0	0.02
CRADD_HUMAN	3.00	2.43	333	0.00019	456	1	123.0	0.36936936936936937
M3K5_HUMAN	95.00	76.95	11	0.00509	12	1	1.0	0.09090909090909091
EZRI_HUMAN	2.00	1.62	539	0.00015	769	1	230.0	0.4267161410018553
FADD_HUMAN	6.00	4.86	130	0.00034	110	1	-20.0	0.15384615384615385
GDIR1_HUMAN	3.00	2.43	329	0.00021	392	1	63.0	0.19148936170212766
MOES_HUMAN	2.00	1.62	540	0.00015	770	1	230.0	0.42592592592592593
RHOA_HUMAN	3.00	2.43	330	0.00021	393	1	63.0	0.19090909090909092
ATM_HUMAN	4.00	3.24	238	0.00028	181	1	-57.0	0.23949579831932774
RPB9_HUMAN	1.00	0.81	931	0.00009	2343	1	1412.0	1.5166487647690656
CALM_HUMAN	13.00	10.53	54	0.00054	60	1	6.0	0.1111111111111111
PPIA_HUMAN	3.00	2.43	331	0.00016	696	1	365.0	1.1027190332326284
CABP5_HUMAN	1.00	0.81	933	0.00009	2345	1	1412.0	1.5133976420150053
CABP1_HUMAN	1.00	0.81	932	0.00009	2344	1	1412.0	1.5150214592274678
PSA7_HUMAN	1.00	0.81	934	0.00009	2346	1	1412.0	1.511777301927195
FKB1A_HUMAN	3.00	2.43	332	0.00018	490	1	158.0	0.4759036144578313
CALL3_HUMAN	8.00	6.48	84	0.00033	119	1	35.0	0.4166666666666667
PLCB4_HUMAN	8.00	6.48	83	0.00031	143	1	60.0	0.7228915662650602
PDE4D_HUMAN	3.00	2.43	336	0.00016	697	1	361.0	1.0744047619047619
PLCG1_HUMAN	12.00	9.72	57	0.00049	72	1	15.0	0.2631578947368421
