Node	Degree	R[0]	R[0] Rank	R[200]	Ranking	Network_Id
BAX	9.00	8.38	33	0.00294	44	1
PRKCE	5.00	4.35	106	0.00189	152	1
RB1	7.00	6.55	57	0.00301	41	2
MAP2K6	11.00	9.86	22	0.00351	25	1
ESR1	21.00	18.83	6	0.00689	7	2
MCHR1	15.00	12.38	17	0.00312	35	2
HLA-A	7.00	6.00	65	0.00368	22	1
ERBB2	13.00	12.11	18	0.00509	12	1
KAT2B	8.00	7.19	49	0.00366	23	2
NPY2R	10.00	8.19	35	0.00245	71	2
P2RY2	13.00	10.68	20	0.00255	63	2
P2RY6	10.00	8.22	34	0.00201	136	2
STAT1	13.00	11.99	19	0.00449	15	3
VDR	10.00	8.69	31	0.00330	29	3
GGA3	1.00	1.00	266	0.00076	353	1
HS3ST3A1	2.00	1.65	256	0.00099	311	7
SDC1	6.00	5.09	88	0.00247	69	7
YWHAZ	9.00	8.04	38	0.00363	24	1
BAD	7.00	6.41	60	0.00237	81	1
NEFL	7.00	5.93	67	0.00269	53	15
TNF	7.00	6.38	61	0.00288	48	2
APOC3	3.00	2.79	166	0.00148	233	7
GRIN2D	5.00	4.13	117	0.00178	174	15
MAPK11	15.00	12.76	13	0.00455	13	1
RALB	2.00	1.64	258	0.00087	332	1
RFC1	5.00	4.75	95	0.00232	87	2
GRIN2C	5.00	4.12	119	0.00178	175	15
CTNNB1	25.00	22.53	4	0.00935	4	1
MUC1	7.00	6.04	63	0.00306	38	1
ATXN2	3.00	2.87	156	0.00222	104	6
TARDBP	4.00	3.58	136	0.00207	125	6
PRKCZ	8.00	6.99	51	0.00290	47	1
OPRL1	6.00	4.93	92	0.00151	228	2
APOE	4.00	3.75	126	0.00195	145	7
DAXX	5.00	4.80	94	0.00261	58	2
CYP3A4	5.00	4.27	111	0.00210	119	3
SEMA3A	6.00	5.20	82	0.00238	79	1
RRAS	5.00	4.31	108	0.00185	158	1
ARHGEF2	2.00	1.87	213	0.00113	286	1
TCEA1	4.00	3.64	132	0.00182	165	24
CTDP1	4.00	3.55	139	0.00181	167	24
NCOR2	5.00	4.51	100	0.00192	147	3
RBPJ	4.00	3.60	134	0.00213	114	3
UPF1	3.00	2.83	160	0.00163	213	4
POLD1	6.00	5.54	71	0.00310	37	4
PFN1	2.00	1.82	221	0.00111	292	1
RASGRF1	8.00	7.01	50	0.00265	55	1
HNRNPA1	2.00	1.76	236	0.00149	230	1
TNFRSF1A	14.00	12.76	14	0.00509	11	1
KIF2C	1.00	0.81	387	0.00073	364	1
VEGFC	3.00	2.69	175	0.00142	243	5
TGFB1	15.00	12.99	12	0.00564	10	5
MBP	1.00	0.93	300	0.00213	115	25
PLP1	1.00	0.93	301	0.00213	116	25
RPA4	1.00	0.98	278	0.00105	299	26
RPA1	2.00	1.98	201	0.00159	218	26
BCL2L1	10.00	9.61	24	0.00318	31	1
CDK8	4.00	3.50	142	0.00178	173	5
NR4A1	6.00	5.19	87	0.00195	143	3
ADRBK1	11.00	9.41	25	0.00237	80	2
COL14A1	4.00	3.30	149	0.00169	196	14
GRIN2B	6.00	5.27	80	0.00222	105	1
PRKCD	7.00	6.01	64	0.00236	82	2
CACNA1S	5.00	4.21	113	0.00281	50	16
RYR1	1.00	0.91	313	0.00084	336	16
KCNIP4	1.00	0.81	380	0.00067	385	1
DRD3	11.00	9.07	28	0.00254	65	2
RARB	5.00	4.15	116	0.00166	203	3
PPARD	5.00	4.12	121	0.00169	192	3
RAB5A	2.00	1.75	238	0.00113	287	1
ALS2	2.00	1.81	223	0.00111	291	1
NOX1	3.00	2.83	159	0.00134	256	9
CYBA	4.00	3.74	127	0.00193	146	9
BAK1	5.00	4.91	93	0.00179	169	1
BID	10.00	9.15	27	0.00326	30	1
ADRA2A	4.00	3.27	151	0.00119	270	2
APAF1	9.00	8.57	32	0.00291	45	1
MAPK13	6.00	5.02	90	0.00185	160	1
CCR1	7.00	5.96	66	0.00247	67	2
DPYSL2	3.00	2.57	187	0.00143	241	1
NCBP1	10.00	8.87	30	0.00413	17	4
SNRPG	6.00	5.35	78	0.00268	54	4
RFC5	4.00	3.76	125	0.00230	92	4
MAD2L1	2.00	1.71	243	0.00166	204	4
RXRG	6.00	5.20	83	0.00200	138	3
TAB3	2.00	1.99	198	0.00107	295	1
TAB1	10.00	9.19	26	0.00372	21	1
TACR2	9.00	7.34	48	0.00183	162	2
PPIA	4.00	3.68	129	0.00176	177	1
MAPK12	8.00	6.87	52	0.00240	77	1
NME4	2.00	1.69	244	0.00131	260	4
BLK	3.00	2.58	186	0.00140	246	1
ILK	6.00	5.22	81	0.00214	113	1
CRKL	1.00	0.93	299	0.00112	289	17
NOX4	1.00	0.91	311	0.00078	351	9
DAZL	1.00	0.96	285	0.00231	89	27
PUM2	1.00	0.96	284	0.00231	88	27
GRK5	8.00	6.71	55	0.00167	199	2
BDKRB1	9.00	7.37	47	0.00199	139	2
CSTF3	5.00	4.13	118	0.00205	132	4
SSTR5	7.00	5.87	68	0.00172	182	2
KLF4	4.00	3.43	144	0.00162	215	5
SOD1	7.00	6.42	59	0.00304	39	6
LTA	3.00	2.71	172	0.00170	187	1
RBFOX1	1.00	0.97	282	0.00100	306	6
HTR2B	10.00	8.16	36	0.00206	126	2
OSM	3.00	2.81	164	0.00150	229	3
CDK5R1	2.00	1.66	251	0.00106	298	1
BCL2	14.00	13.16	11	0.00441	16	6
PAX2	2.00	1.63	260	0.00129	262	12
GDNF	3.00	2.62	182	0.00161	217	12
MARK2	2.00	1.80	225	0.00116	281	1
RPS19	2.00	1.76	237	0.00202	135	18
EIF3E	2.00	1.85	214	0.00205	130	18
SMAD3	6.00	5.52	73	0.00247	68	5
POMC	21.00	18.04	7	0.00733	6	2
NR0B1	2.00	1.77	231	0.00092	326	2
GPC1	6.00	5.20	85	0.00229	94	7
CACNB3	3.00	2.63	181	0.00175	179	16
CACNA1C	3.00	2.65	177	0.00175	178	16
GRIN2A	6.00	5.20	84	0.00221	107	1
SREBF2	5.00	4.30	109	0.00299	43	5
LSS	2.00	1.83	219	0.00147	234	5
ADRA1D	5.00	4.12	120	0.00119	271	2
KDR	8.00	7.40	46	0.00316	34	5
GNAL	3.00	2.43	196	0.00138	247	2
OR1D2	1.00	0.81	381	0.00074	363	2
HNRNPA2B1	5.00	4.20	114	0.00210	118	4
FUS	3.00	2.49	194	0.00143	242	4
DRD2	12.00	10.04	21	0.00275	52	2
ARHGDIB	2.00	1.91	206	0.00093	322	1
PPP3CB	6.00	5.04	89	0.00227	96	1
PPP2R4	2.00	1.63	259	0.00097	317	1
MAP3K5	7.00	6.63	56	0.00261	60	1
FGFR1	5.00	4.60	97	0.00232	86	7
NCAM1	6.00	5.35	77	0.00317	33	7
COL16A1	4.00	3.47	143	0.00172	184	14
TOP1	3.00	2.91	154	0.00137	253	2
CAT	5.00	4.32	107	0.00265	56	6
TFDP1	6.00	5.38	76	0.00303	40	2
RBL1	3.00	2.89	155	0.00162	216	2
SULT2B1	2.00	1.67	248	0.00114	284	3
IGFBP5	2.00	1.79	229	0.00157	220	13
VTN	6.00	5.29	79	0.00260	61	13
CD79A	4.00	3.58	135	0.00258	62	12
POLD4	4.00	3.71	128	0.00212	117	4
SUPT4H1	5.00	4.45	102	0.00238	78	4
CEL	3.00	2.64	179	0.00205	131	11
DGKG	2.00	1.62	263	0.00170	188	11
TIAM1	4.00	3.80	124	0.00154	223	1
COL9A2	4.00	3.30	150	0.00169	197	14
GPX1	7.00	6.19	62	0.00276	51	6
GSTP1	5.00	4.53	99	0.00210	120	6
EFNB3	3.00	2.54	189	0.00118	274	1
SF3B3	6.00	5.19	86	0.00246	70	4
UPF3A	2.00	1.82	222	0.00116	278	4
AKAP5	2.00	1.81	224	0.00152	225	10
PRKAR2A	2.00	1.89	208	0.00197	140	10
DHX38	5.00	4.40	103	0.00234	84	4
HSP90AA1	8.00	7.56	42	0.00299	42	5
CACNB4	5.00	4.29	110	0.00285	49	7
CDH1	9.00	8.03	39	0.00312	36	1
VCP	2.00	2.00	197	0.00169	193	1
GPR17	8.00	6.53	58	0.00186	157	2
AKAP13	1.00	0.89	319	0.00117	276	10
ITGA5	5.00	4.37	105	0.00196	141	13
CYP2C19	5.00	4.38	104	0.00228	95	6
GSTZ1	5.00	4.25	112	0.00206	129	6
E2F4	3.00	2.98	152	0.00163	212	2
PSMC5	3.00	2.77	167	0.00146	236	3
PRF1	3.00	2.59	184	0.00156	221	3
PDE4B	3.00	2.44	195	0.00235	83	8
AK4	1.00	0.82	377	0.00098	314	8
TSPO	1.00	0.86	344	0.00066	387	2
ALOX12	1.00	0.86	345	0.00074	361	6
TRIP13	1.00	0.88	322	0.00104	300	4
CASP1	2.00	1.83	217	0.00093	324	3
OAS2	1.00	0.81	382	0.00079	349	1
CYP11B2	3.00	2.69	176	0.00225	99	2
HSD11B1	1.00	0.87	332	0.00098	316	2
IFNA14	1.00	0.84	358	0.00071	371	3
NCL	3.00	2.76	168	0.00142	244	13
ERG	1.00	0.93	303	0.00068	382	1
FGFR3	3.00	2.75	170	0.00136	254	5
TGFB3	2.00	1.66	253	0.00104	301	5
PDE4C	2.00	1.63	261	0.00158	219	8
FGF4	3.00	2.82	162	0.00145	239	5
OPTN	1.00	0.99	269	0.00075	354	1
FAM175B	1.00	1.00	267	0.00089	331	1
DRD5	2.00	1.66	252	0.00106	296	2
GATA2	1.00	0.84	357	0.00081	342	28
EPO	3.00	2.58	185	0.00164	207	28
CSNK1G3	1.00	0.82	378	0.00069	376	1
AHR	3.00	2.95	153	0.00134	255	5
EXOC5	1.00	0.88	326	0.00065	390	1
SPTB	1.00	0.93	302	0.00082	339	7
SH3GL2	2.00	1.94	204	0.00137	252	6
CDK9	5.00	4.69	96	0.00218	108	4
ACE	1.00	0.86	347	0.00068	381	1
PNLIPRP1	2.00	1.77	232	0.00138	249	11
CDS1	1.00	0.81	388	0.00103	303	11
SERPINF2	2.00	1.79	227	0.00152	224	5
ELANE	1.00	0.96	290	0.00101	304	5
CCL23	1.00	0.97	283	0.00068	383	2
GUCY2C	5.00	4.15	115	0.00392	18	8
HAAO	1.00	0.81	391	0.00079	348	6
HLAC	1.00	0.86	346	0.00100	310	19
KIR2DL3	3.00	2.53	190	0.00234	85	19
ATM	4.00	3.56	137	0.00200	137	2
GNAQ	3.00	2.64	180	0.00090	330	2
STK36	1.00	0.96	288	0.00230	91	29
GLI1	1.00	0.96	287	0.00230	90	29
GRIN1	2.00	1.97	202	0.00100	305	1
GAST	9.00	7.53	43	0.00215	111	2
UBE3A	4.00	3.64	131	0.00191	151	2
UBQLN2	2.00	1.83	218	0.00127	264	1
IL9	1.00	0.86	340	0.00080	345	3
TF	3.00	2.50	192	0.00169	198	2
GFAP	2.00	1.67	247	0.00128	263	2
GH1	2.00	1.98	199	0.00221	106	20
GHR	2.00	1.84	216	0.00217	109	20
PPP3CC	3.00	2.50	193	0.00127	265	1
FDFT1	2.00	1.89	209	0.00149	232	5
PTHLH	1.00	0.86	334	0.00066	386	2
RAP1GAP	1.00	0.83	369	0.00069	375	1
MYLIP	1.00	0.88	324	0.00073	365	1
BMPR2	2.00	1.80	226	0.00116	280	1
PPYR1	5.00	4.08	122	0.00126	266	2
SMN2	3.00	2.83	161	0.00195	144	4
SNRPN	1.00	0.91	314	0.00091	329	4
GSR	4.00	3.50	141	0.00177	176	6
CD22	1.00	0.95	293	0.00092	327	12
INSR	2.00	1.73	241	0.00119	272	1
OSMR	2.00	1.94	205	0.00116	279	3
CHMP2B	1.00	0.83	361	0.00072	367	1
CSNK1E	3.00	2.70	173	0.00165	206	1
NPAS2	1.00	0.88	323	0.00082	338	1
DIO2	1.00	0.83	367	0.00169	195	30
DIO3	1.00	0.83	366	0.00169	194	30
DCTN1	2.00	1.69	245	0.00099	312	1
ERBB4	3.00	2.74	171	0.00141	245	1
PAPPA	2.00	1.88	210	0.00207	124	13
VIPR1	2.00	1.65	257	0.00106	297	2
KIR2DL1	1.00	0.86	343	0.00080	346	1
PLXNA3	4.00	3.40	146	0.00162	214	1
EIF3F	2.00	1.88	211	0.00206	127	18
SIRPA	2.00	1.95	203	0.00119	269	1
CASP2	4.00	3.61	133	0.00147	235	1
CYP17A1	2.00	1.79	228	0.00111	290	3
HSD11B2	1.00	0.93	304	0.00100	308	2
S100A2	1.00	0.99	270	0.00070	372	2
PAX5	3.00	2.69	174	0.00209	123	12
ITPR2	1.00	0.83	370	0.00133	259	21
INPP5A	2.00	1.66	250	0.00244	72	21
HIST1H1C	1.00	0.87	333	0.00073	366	1
SMN1	3.00	2.82	163	0.00165	205	4
XRCC4	1.00	0.95	298	0.00080	347	2
ALDOB	1.00	0.87	329	0.00186	155	31
KHK	1.00	0.87	330	0.00186	156	31
TAX1BP1	1.00	0.90	317	0.00074	362	1
PAX3	1.00	0.92	307	0.00081	343	2
PRLR	2.00	1.83	220	0.00216	110	20
ITPKC	1.00	0.84	359	0.00133	258	21
HLA-B*40	1.00	0.82	374	0.00098	315	19
CGA	2.00	1.88	212	0.00117	277	1
NFYC	2.00	1.65	255	0.00114	285	5
LTB	1.00	0.91	315	0.00084	334	1
LAMA3	1.00	0.98	277	0.00243	74	32
LAMC2	1.00	0.98	276	0.00243	73	32
PRKCH	2.00	1.63	262	0.00093	323	2
AUH	1.00	0.81	389	0.00163	210	33
HMGCS2	1.00	0.81	390	0.00163	211	33
PNPT1	2.00	1.66	249	0.00133	257	4
NME3	3.00	2.51	191	0.00171	185	4
CHAF1B	1.00	0.96	286	0.00108	294	34
CBX5	2.00	1.77	233	0.00167	200	34
GPKOW	1.00	0.98	274	0.00078	350	4
SND1	1.00	0.88	325	0.00081	344	3
PRG2	1.00	0.98	275	0.00126	267	13
CD3G	4.00	3.37	147	0.00192	148	3
PRKAB1	1.00	0.96	289	0.00070	373	2
IMPA1	1.00	0.81	384	0.00164	208	35
INPP4B	1.00	0.81	385	0.00164	209	35
ST3GAL3	1.00	0.84	360	0.00072	368	1
ANKRD2	1.00	0.86	336	0.00068	379	2
GALT	1.00	0.95	295	0.00223	101	36
UGP2	1.00	0.95	296	0.00223	102	36
DUSP2	1.00	0.86	337	0.00064	392	9
BTG2	1.00	0.87	331	0.00068	378	2
IL6ST	5.00	4.56	98	0.00214	112	3
PTPRF	3.00	2.84	157	0.00195	142	1
PPFIA1	1.00	0.98	281	0.00093	325	1
FHL3	1.00	0.88	328	0.00187	154	37
KLF3	1.00	0.88	327	0.00187	153	37
EOMES	3.00	2.65	178	0.00151	226	3
TWIST1	1.00	0.89	321	0.00191	150	38
MSX2	1.00	0.89	320	0.00191	149	38
ETV4	1.00	0.81	383	0.00068	380	1
PRPH	1.00	0.98	280	0.00241	76	39
PRPH2	1.00	0.98	279	0.00241	75	39
CHD8	1.00	0.99	272	0.00070	374	1
GPLD1	1.00	0.85	349	0.00178	172	40
PIGL	1.00	0.85	348	0.00178	171	40
ATP6V0A1	1.00	0.81	392	0.00081	340	2
IL13RA1	1.00	1.00	268	0.00083	337	3
TYRP1	2.00	1.72	242	0.00146	238	2
RAD23A	2.00	1.98	200	0.00129	261	1
PDE10A	1.00	0.85	352	0.00100	309	8
PKHD1	1.00	0.86	335	0.00183	163	41
HNF1B	1.00	0.86	339	0.00183	164	41
PSME3	2.00	1.77	234	0.00112	288	3
SRD5A1	1.00	0.84	356	0.00065	388	2
TBX5	1.00	0.85	351	0.00074	360	2
DCT	1.00	0.90	318	0.00097	318	2
SCRIB	1.00	0.82	376	0.00075	357	2
CCL1	1.00	0.91	308	0.00067	384	2
ST3GAL4	1.00	0.83	362	0.00072	369	1
MED22	2.00	1.74	240	0.00104	302	5
CR2	1.00	0.99	271	0.00065	391	2
KCNA3	1.00	0.83	363	0.00170	189	42
KCNS3	1.00	0.83	364	0.00170	190	42
AREGB	1.00	0.86	341	0.00069	377	1
MEN1	2.00	1.74	239	0.00118	273	2
RUNX1	1.00	0.91	312	0.00095	321	12
TRIM25	2.00	1.67	246	0.00146	237	1
PDE1C	1.00	0.85	350	0.00100	307	8
6-Sep	1.00	0.84	355	0.00096	319	1
SEC24C	1.00	0.81	386	0.00084	335	5
SLC18A3	1.00	0.82	373	0.00167	202	43
RAB3A	1.00	0.82	372	0.00167	201	43
FASN	1.00	0.99	273	0.00075	355	1
PDE1B	1.00	0.83	368	0.00099	313	8
CACNA1A	1.00	0.95	297	0.00085	333	7
TRIM21	1.00	1.00	264	0.00076	352	1
SUPT6H	1.00	0.82	375	0.00075	356	4
CCS	1.00	0.95	294	0.00074	359	6
PKP1	1.00	0.93	306	0.00210	122	44
DSC1	1.00	0.93	305	0.00210	121	44
BMPR1A	2.00	1.91	207	0.00118	275	1
XDH	1.00	0.90	316	0.00081	341	6
TNFSF13B	1.00	0.86	338	0.00071	370	2
SRM	1.00	0.84	354	0.00174	181	45
ABP1	1.00	0.84	353	0.00174	180	45
DERL1	1.00	1.00	265	0.00110	293	1
INTS4	1.00	0.91	309	0.00204	133	46
KIAA0513	1.00	0.91	310	0.00204	134	46
SRD5A2	1.00	0.82	371	0.00065	389	2
ONECUT1	1.00	0.86	342	0.00074	358	2
UBA7	1.00	0.83	365	0.00095	320	1
