Node	Degree	R[0]	R[0] Rank	R[200]	Rank R[200]	Network_Id	Delta Rank((R[200]-R0))	Delta((R[200]-R0)/R0)
DLGP1_HUMAN	1.00	0.98	940	0.62042	1121	3	181.0	0.1925531914893617
NMDE1_HUMAN	39.00	32.28	25	21.94031	25	3	0.0	0.0
DMAP1_HUMAN	1.00	1.00	747	0.69296	668	1	-79.0	-0.10575635876840696
DYR1B_HUMAN	2.00	1.92	379	1.32852	362	1	-17.0	-0.044854881266490766
MK14_HUMAN	125.00	112.58	6	81.86606	6	7	0.0	0.0
FKB1A_HUMAN	4.00	3.17	162	2.20357	165	8	3.0	0.018518518518518517
PP2BA_HUMAN	45.00	37.16	21	25.07193	21	1	0.0	0.0
GRAB_HUMAN	3.00	2.98	177	1.92917	218	1	41.0	0.23163841807909605
HIPK1_HUMAN	3.00	2.45	256	1.83933	239	1	-17.0	-0.06640625
P53_HUMAN	397.00	345.71	1	249.52948	1	1	0.0	0.0
IKKA_HUMAN	2.00	1.96	358	1.35513	328	1	-30.0	-0.08379888268156424
IMA2_HUMAN	1.00	0.90	1107	0.64308	1012	1	-95.0	-0.08581752484191509
IQGA1_HUMAN	2.00	1.62	482	1.13698	503	1	21.0	0.043568464730290454
JAK1_HUMAN	2.00	1.81	451	1.24507	434	1	-17.0	-0.037694013303769404
KC1A_HUMAN	3.00	2.79	219	1.96111	206	2	-13.0	-0.0593607305936073
KITH_HUMAN	1.00	0.97	1007	0.67377	868	1	-139.0	-0.13803376365441908
M3K5_HUMAN	56.00	50.17	15	36.63671	13	1	-2.0	-0.13333333333333333
TRAF2_HUMAN	4.00	4.00	119	2.77058	123	5	4.0	0.03361344537815126
MCL1_HUMAN	9.00	7.53	56	5.33031	55	1	-1.0	-0.017857142857142856
MDM4_HUMAN	2.00	2.00	281	1.34497	335	1	54.0	0.19217081850533807
PML_HUMAN	4.00	3.98	121	2.73247	126	1	5.0	0.04132231404958678
ELK1_HUMAN	3.00	2.90	199	1.97591	201	1	2.0	0.010050251256281407
MP2K6_HUMAN	35.00	29.76	26	21.26414	26	1	0.0	0.0
STK39_HUMAN	1.00	1.00	792	0.70626	629	7	-163.0	-0.2058080808080808
MP2K3_HUMAN	35.00	28.92	27	20.76945	27	1	0.0	0.0
MYD88_HUMAN	1.00	1.00	589	0.63542	1044	1	455.0	0.7724957555178268
NEMO_HUMAN	1.00	0.98	1003	0.67569	865	2	-138.0	-0.13758723828514458
NFL_HUMAN	23.00	19.65	37	14.02039	37	13	0.0	0.0
MTMR2_HUMAN	1.00	1.00	590	0.66814	879	13	289.0	0.48983050847457626
TSC1_HUMAN	1.00	1.00	591	0.66814	880	13	289.0	0.4890016920473773
ANKR2_HUMAN	1.00	1.00	776	0.68401	768	1	-8.0	-0.010309278350515464
BARD1_HUMAN	1.00	1.00	779	0.68392	769	1	-10.0	-0.012836970474967908
BRCA1_HUMAN	2.00	1.98	328	1.33687	357	1	29.0	0.08841463414634146
CHD3_HUMAN	2.00	2.00	282	1.35240	330	13	48.0	0.1702127659574468
CHK2_HUMAN	2.00	1.99	317	1.25302	429	8	112.0	0.35331230283911674
HIPK2_HUMAN	2.00	2.00	283	1.37730	312	1	29.0	0.10247349823321555
IF16_HUMAN	1.00	0.95	1040	0.66283	913	1	-127.0	-0.12211538461538461
NECD_HUMAN	1.00	1.00	594	0.68426	707	1	113.0	0.19023569023569023
PSD11_HUMAN	1.00	1.00	748	0.68417	760	1	12.0	0.016042780748663103
P80C_HUMAN	1.00	1.00	592	0.66484	881	6	289.0	0.48817567567567566
SMN_HUMAN	67.00	56.99	11	40.58132	11	6	0.0	0.0
PAX5_HUMAN	1.00	1.00	593	0.69304	660	1	67.0	0.11298482293423272
PIAS4_HUMAN	2.00	2.00	303	1.35207	331	13	28.0	0.0924092409240924
PLCB2_HUMAN	4.00	3.71	142	2.54239	144	1	2.0	0.014084507042253521
RAB3A_HUMAN	2.00	1.37	550	0.98477	561	4	11.0	0.02
RAB5A_HUMAN	48.00	38.79	18	25.75816	20	4	2.0	0.1111111111111111
RAE2_HUMAN	1.00	0.93	1045	0.58120	1219	4	174.0	0.16650717703349283
CY24A_HUMAN	1.00	0.66	1384	0.49226	1436	1	52.0	0.03757225433526012
IQGA2_HUMAN	1.00	1.00	749	0.63534	1056	1	307.0	0.4098798397863818
OPHN1_HUMAN	1.00	0.97	1017	0.62320	1107	1	90.0	0.08849557522123894
P85A_HUMAN	1.00	0.99	891	0.63236	1073	1	182.0	0.20426487093153758
PAK2_HUMAN	2.00	1.98	326	1.28853	404	1	78.0	0.2392638036809816
VAV_HUMAN	2.00	1.88	418	1.24754	433	1	15.0	0.03588516746411483
RHG01_HUMAN	1.00	0.90	1208	0.59360	1193	1	-15.0	-0.012417218543046357
SCG1_HUMAN	1.00	0.96	1038	0.59528	1191	14	153.0	0.14739884393063585
OGG1_HUMAN	17.00	13.24	41	9.23790	40	14	-1.0	-0.024390243902439025
GEMI5_HUMAN	1.00	1.00	595	0.66484	882	6	287.0	0.4823529411764706
LSM7_HUMAN	1.00	1.00	855	0.66321	911	6	56.0	0.06549707602339182
POP7_HUMAN	1.00	0.96	1031	0.64957	990	6	-41.0	-0.03976721629485936
RSMB_HUMAN	2.00	1.62	483	1.18524	477	6	-6.0	-0.012422360248447204
SRP72_HUMAN	1.00	0.98	1001	0.65173	978	1	-23.0	-0.022977022977022976
STK11_HUMAN	1.00	0.97	1012	0.67269	870	1	-142.0	-0.14031620553359683
STK24_HUMAN	1.00	1.00	816	0.66014	929	1	113.0	0.13848039215686275
TCPE_HUMAN	1.00	1.00	834	0.68292	787	1	-47.0	-0.05635491606714628
TNFB_HUMAN	3.00	2.98	178	2.05694	177	5	-1.0	-0.0056179775280898875
TNR1B_HUMAN	120.00	109.74	7	81.37334	7	2	0.0	0.0
XTP3B_HUMAN	1.00	0.98	909	0.67902	842	2	-67.0	-0.0737073707370737
GBF1_HUMAN	1.00	0.98	910	0.71939	597	2	-313.0	-0.34395604395604396
HNRPU_HUMAN	5.00	4.78	92	3.22806	92	3	0.0	0.0
RL23_HUMAN	2.00	1.97	343	1.39841	293	2	-50.0	-0.1457725947521866
RS3_HUMAN	3.00	2.45	255	1.80794	245	2	-10.0	-0.0392156862745098
TOM40_HUMAN	8.00	6.10	64	3.78540	75	16	11.0	0.171875
TOM7_HUMAN	1.00	1.00	780	0.55192	1279	16	499.0	0.6397435897435897
VEGFA_HUMAN	34.00	28.53	29	19.72707	30	5	1.0	0.034482758620689655
GPC1_HUMAN	1.00	1.00	596	0.64318	1003	5	407.0	0.6828859060402684
NRP2_HUMAN	1.00	1.00	750	0.64310	1011	5	261.0	0.348
ZN363_HUMAN	1.00	1.00	597	0.68426	708	1	111.0	0.18592964824120603
8ODP_HUMAN	1.00	0.70	1324	0.49240	1435	14	111.0	0.08383685800604229
NAL12_HUMAN	1.00	0.50	1621	0.40103	1596	1	-25.0	-0.015422578655151141
BFL1_HUMAN	4.00	3.24	161	2.30318	161	1	0.0	0.0
BAG1_HUMAN	5.00	3.67	144	2.74931	124	1	-20.0	-0.1388888888888889
BAXA_HUMAN	9.00	8.38	50	5.54737	54	1	4.0	0.08
BCR_HUMAN	3.00	2.13	271	1.61387	273	1	2.0	0.007380073800738007
CD5_HUMAN	1.00	0.70	1328	0.51301	1380	1	52.0	0.0391566265060241
CDN1A_HUMAN	6.00	4.67	95	3.41819	83	1	-12.0	-0.12631578947368421
JAK3_HUMAN	1.00	0.85	1230	0.57610	1233	1	3.0	0.0024390243902439024
LEUK_HUMAN	2.00	1.53	520	1.13572	504	1	-16.0	-0.03076923076923077
BCLW_HUMAN	5.00	4.38	107	3.08481	106	1	-1.0	-0.009345794392523364
BIRC4_HUMAN	6.00	4.82	91	3.36172	87	1	-4.0	-0.04395604395604396
BTG2_HUMAN	1.00	0.84	1247	0.61362	1135	1	-112.0	-0.08981555733761026
CPNS1_HUMAN	1.00	0.71	1313	0.53636	1311	1	-2.0	-0.0015232292460015233
IL1R1_HUMAN	3.00	2.09	274	1.67049	262	2	-12.0	-0.043795620437956206
CCND1_HUMAN	3.00	2.10	273	1.59166	276	1	3.0	0.01098901098901099
CENPC_HUMAN	2.00	1.50	524	1.14542	499	6	-25.0	-0.04770992366412214
PDCD8_HUMAN	6.00	4.48	102	3.19020	95	1	-7.0	-0.06862745098039216
RXRB_HUMAN	1.00	0.52	1608	0.46875	1496	1	-112.0	-0.06965174129353234
DBLOH_HUMAN	7.00	5.45	74	3.80377	72	1	-2.0	-0.02702702702702703
DCC_HUMAN	3.00	2.69	228	1.85344	233	1	5.0	0.021929824561403508
EFA6R_HUMAN	1.00	0.53	1591	0.49618	1428	17	-163.0	-0.10245128849780012
CHP2_HUMAN	6.00	5.42	75	4.01729	69	17	-6.0	-0.08
FADD_HUMAN	9.00	6.59	60	4.85375	59	1	-1.0	-0.016666666666666666
GRIA2_HUMAN	33.00	25.53	31	16.82245	33	3	2.0	0.06451612903225806
PTPRF_HUMAN	1.00	0.64	1390	0.44399	1554	3	164.0	0.11798561151079137
GRIK5_HUMAN	5.00	3.42	157	2.44825	149	3	-8.0	-0.050955414012738856
GRIA1_HUMAN	41.00	34.27	22	22.80483	24	3	2.0	0.09090909090909091
GSTT2_HUMAN	1.00	0.52	1609	0.41032	1588	14	-21.0	-0.01305158483530143
IL1RA_HUMAN	3.00	1.80	458	1.52051	279	5	-179.0	-0.39082969432314413
IL2RA_HUMAN	2.00	1.54	517	1.20656	462	2	-55.0	-0.10638297872340426
INVO_HUMAN	1.00	0.52	1600	0.44249	1565	11	-35.0	-0.021875
MK13_HUMAN	21.00	17.32	38	12.41664	38	11	0.0	0.0
JUN_HUMAN	5.00	4.31	109	2.95568	113	5	4.0	0.03669724770642202
TNFA_HUMAN	34.00	28.53	28	20.09574	29	5	1.0	0.03571428571428571
KCNC1_HUMAN	1.00	0.60	1533	0.30774	1628	19	95.0	0.06196999347684279
DPP6_HUMAN	5.00	3.13	164	1.65587	266	19	102.0	0.6219512195121951
KIF1B_HUMAN	2.00	1.55	514	1.19853	470	13	-44.0	-0.08560311284046693
LPPRC_HUMAN	1.00	0.67	1373	0.45450	1524	1	151.0	0.1099781500364166
M3K1_HUMAN	7.00	5.87	68	4.22839	65	11	-3.0	-0.04411764705882353
MK08_HUMAN	12.00	9.83	47	7.07671	45	1	-2.0	-0.0425531914893617
TRADD_HUMAN	4.00	3.48	151	2.54066	145	5	-6.0	-0.039735099337748346
M3K9_HUMAN	1.00	0.78	1264	0.54633	1287	1	23.0	0.01819620253164557
MKKS_HUMAN	1.00	0.50	1627	0.42944	1582	1	-45.0	-0.027658266748617086
MP2K1_HUMAN	5.00	3.98	124	2.92734	115	1	-9.0	-0.07258064516129033
MK12_HUMAN	26.00	23.22	35	16.65139	35	1	0.0	0.0
MK07_HUMAN	2.00	1.56	506	1.13528	505	1	-1.0	-0.001976284584980237
SRC_HUMAN	4.00	3.71	141	2.43549	150	1	9.0	0.06382978723404255
MP2K4_HUMAN	10.00	8.21	51	5.98059	51	1	0.0	0.0
MT2_HUMAN	20.00	14.26	40	7.87849	42	10	2.0	0.05
CD79A_HUMAN	2.00	1.25	575	0.83299	582	10	7.0	0.01217391304347826
TIM8A_HUMAN	2.00	1.40	549	0.75867	585	10	36.0	0.06557377049180328
NEST_HUMAN	1.00	0.52	1612	0.40014	1597	12	-15.0	-0.009305210918114143
PERI_HUMAN	10.00	7.86	55	5.27848	56	12	1.0	0.01818181818181818
NMDE4_HUMAN	48.00	38.71	19	26.77196	19	3	0.0	0.0
GRIA3_HUMAN	5.00	3.37	158	2.42960	153	3	-5.0	-0.03164556962025317
GRIK1_HUMAN	6.00	3.94	129	2.88462	120	3	-9.0	-0.06976744186046512
CDK4_HUMAN	2.00	1.34	554	1.03714	543	1	-11.0	-0.019855595667870037
KIP1_HUMAN	1.00	0.52	1605	0.46318	1505	1	-100.0	-0.06230529595015576
PAK1_HUMAN	6.00	5.55	73	3.79325	73	1	0.0	0.0
PERF_HUMAN	1.00	0.81	1254	0.58114	1221	1	-33.0	-0.02631578947368421
PON1_HUMAN	14.00	11.37	44	7.50371	43	15	-1.0	-0.022727272727272728
PON3_HUMAN	2.00	1.94	371	1.24818	432	20	61.0	0.16442048517520216
PP2BB_HUMAN	33.00	24.67	33	17.12253	32	1	-1.0	-0.030303030303030304
PTN13_HUMAN	1.00	0.55	1585	0.44208	1567	1	-18.0	-0.011356466876971609
RAB9A_HUMAN	1.00	0.60	1530	0.44360	1564	4	34.0	0.022222222222222223
S2A4R_HUMAN	3.00	2.02	279	1.43457	286	1	7.0	0.025089605734767026
ARF6_HUMAN	1.00	0.68	1361	0.50183	1415	1	54.0	0.03967670830271859
CRKL_HUMAN	1.00	0.87	1219	0.58347	1216	1	-3.0	-0.002461033634126333
MBTP1_HUMAN	1.00	0.59	1539	0.46199	1509	1	-30.0	-0.01949317738791423
RALA_HUMAN	1.00	0.60	1531	0.46629	1500	1	-31.0	-0.020248203788373612
REL_HUMAN	1.00	0.61	1522	0.48386	1469	5	-53.0	-0.03482260183968462
RM28_HUMAN	1.00	0.69	1343	0.54834	1283	1	-60.0	-0.044676098287416234
RTEL1_HUMAN	2.00	1.33	555	1.05078	540	2	-15.0	-0.02702702702702703
SATT_HUMAN	1.00	0.63	1512	0.35064	1622	8	110.0	0.07275132275132275
EAA2_HUMAN	18.00	12.10	42	6.85962	47	8	5.0	0.11904761904761904
CENPB_HUMAN	1.00	0.63	1508	0.50410	1413	6	-95.0	-0.0629973474801061
SODC_HUMAN	30.00	22.72	36	14.87759	36	8	0.0	0.0
SODE_HUMAN	1.00	0.65	1387	0.43720	1573	8	186.0	0.13410237923576063
TGFB1_HUMAN	7.00	5.09	81	3.74636	77	1	-4.0	-0.04938271604938271
IL1B_HUMAN	2.00	1.76	462	1.19857	469	5	7.0	0.015151515151515152
TNF10_HUMAN	6.00	4.32	108	3.20552	94	1	-14.0	-0.12962962962962962
TNFL5_HUMAN	2.00	1.36	551	1.07103	532	6	-19.0	-0.034482758620689655
TNR5_HUMAN	4.00	2.71	225	2.13819	167	2	-58.0	-0.2577777777777778
TR10B_HUMAN	4.00	2.63	237	2.03435	184	1	-53.0	-0.22362869198312235
TR10D_HUMAN	4.00	2.41	260	1.85169	234	1	-26.0	-0.1
ARNT_HUMAN	1.00	0.87	1218	0.59148	1196	5	-22.0	-0.0180623973727422
1433S_HUMAN	4.00	3.82	136	2.71868	129	1	-7.0	-0.051470588235294115
ABL1_HUMAN	7.00	5.82	71	4.04444	68	3	-3.0	-0.04225352112676056
CATA_HUMAN	14.00	11.94	43	8.10528	41	3	-2.0	-0.046511627906976744
BAX_HUMAN	25.00	23.70	34	16.72704	34	1	0.0	0.0
BAK_HUMAN	5.00	4.88	87	3.28681	90	1	3.0	0.034482758620689655
B2LA1_HUMAN	3.00	2.99	175	2.04043	183	1	8.0	0.045714285714285714
BRD7_HUMAN	1.00	0.98	911	0.66161	917	13	6.0	0.006586169045005488
PA24A_HUMAN	3.00	2.90	200	1.97035	202	7	2.0	0.01
PSIP1_HUMAN	1.00	0.90	1113	0.62055	1113	1	0.0	0.0
RAD51_HUMAN	2.00	1.98	329	1.33687	358	1	29.0	0.08814589665653495
VIME_HUMAN	4.00	3.90	133	2.64893	134	2	1.0	0.007518796992481203
NOD1_HUMAN	2.00	2.00	307	1.28155	412	1	105.0	0.34201954397394135
CDC42_HUMAN	3.00	2.76	222	1.88471	229	1	7.0	0.03153153153153153
CK5P2_HUMAN	1.00	0.90	1112	0.62761	1090	13	-22.0	-0.019784172661870502
TF7L2_HUMAN	1.00	0.99	879	0.69035	689	1	-190.0	-0.2161547212741752
DERL1_HUMAN	28.00	24.82	32	18.85710	31	9	-1.0	-0.03125
1A03_HUMAN	1.00	0.98	1006	0.71157	616	9	-390.0	-0.38767395626242546
1A23_HUMAN	1.00	0.90	1115	0.67920	823	9	-292.0	-0.26188340807174887
DUS10_HUMAN	2.00	2.00	312	1.36086	325	7	13.0	0.041666666666666664
DUS4_HUMAN	3.00	2.90	201	1.93036	217	3	16.0	0.07960199004975124
FA48A_HUMAN	1.00	0.64	1394	0.54135	1299	7	-95.0	-0.06814921090387374
GEMI6_HUMAN	1.00	0.98	941	0.65670	949	6	8.0	0.008501594048884165
HRX_HUMAN	1.00	0.90	1114	0.66366	909	1	-205.0	-0.18402154398563733
INADL_HUMAN	4.00	3.89	134	2.53619	146	3	12.0	0.08955223880597014
JUB_HUMAN	1.00	1.00	823	0.47330	1493	8	670.0	0.8140947752126367
KCC2G_HUMAN	5.00	3.77	138	2.70850	130	3	-8.0	-0.057971014492753624
KLF6_HUMAN	1.00	0.92	1051	0.65113	981	1	-70.0	-0.06660323501427212
LIN7A_HUMAN	1.00	0.99	878	0.63211	1076	4	198.0	0.2255125284738041
TNNT2_HUMAN	1.00	0.92	1050	0.67209	873	1	-177.0	-0.16857142857142857
MBP_HUMAN	3.00	2.80	218	1.93121	216	11	-2.0	-0.009174311926605505
ESR1_HUMAN	2.00	1.98	330	1.38239	310	1	-20.0	-0.06060606060606061
JDP2_HUMAN	1.00	0.90	1116	0.66423	897	7	-219.0	-0.19623655913978494
K1C18_HUMAN	3.00	2.64	235	1.94250	211	2	-24.0	-0.10212765957446808
MAPK3_HUMAN	2.00	1.90	389	1.31933	373	11	-16.0	-0.04113110539845758
NCOA3_HUMAN	1.00	0.98	912	0.69985	649	7	-263.0	-0.2883771929824561
ISK7_HUMAN	1.00	1.00	598	0.48484	1458	10	860.0	1.4381270903010033
NMD3A_HUMAN	3.00	2.84	210	1.83996	238	3	28.0	0.13333333333333333
RGS3_HUMAN	2.00	1.81	452	1.24218	435	1	-17.0	-0.03761061946902655
MAGI3_HUMAN	1.00	0.85	1232	0.57266	1238	4	6.0	0.00487012987012987
NMDZ1_HUMAN	72.00	60.28	10	41.49645	10	3	0.0	0.0
CADH2_HUMAN	2.00	1.90	406	1.22374	447	3	41.0	0.10098522167487685
KS6A3_HUMAN	4.00	3.66	145	2.51656	147	3	2.0	0.013793103448275862
NOXA1_HUMAN	1.00	0.81	1255	0.55837	1264	1	9.0	0.007171314741035857
RUXF_HUMAN	2.00	1.86	422	1.22328	451	14	29.0	0.06872037914691943
CD40L_HUMAN	1.00	0.92	1052	0.65113	982	1	-70.0	-0.06653992395437262
SAE1_HUMAN	1.00	0.64	1395	0.52341	1337	1	-58.0	-0.04157706093189964
UBIQ_HUMAN	5.00	4.50	101	3.29204	89	1	-12.0	-0.1188118811881188
PACAP_HUMAN	1.00	0.99	892	0.63507	1059	1	167.0	0.18721973094170405
PP1A_HUMAN	5.00	4.88	88	3.22725	93	1	5.0	0.056818181818181816
PP1G_HUMAN	3.00	1.92	375	1.51083	281	1	-94.0	-0.25066666666666665
CP074_HUMAN	2.00	1.50	525	1.01773	547	1	22.0	0.0419047619047619
OCRL_HUMAN	2.00	1.20	581	0.90916	576	4	-5.0	-0.008605851979345954
RASF1_HUMAN	2.00	1.55	508	1.18102	479	1	-29.0	-0.05708661417322835
SET_HUMAN	1.00	0.64	1396	0.48433	1460	1	64.0	0.045845272206303724
FUBP1_HUMAN	2.00	1.99	319	1.36850	320	6	1.0	0.003134796238244514
GAR1_HUMAN	1.00	1.00	600	0.66484	883	6	283.0	0.4716666666666667
SNTA1_HUMAN	2.00	2.00	296	1.39506	306	1	10.0	0.033783783783783786
SPNS1_HUMAN	3.00	2.61	242	1.73084	258	1	16.0	0.06611570247933884
SYNJ1_HUMAN	2.00	1.20	582	0.88820	577	1	-5.0	-0.00859106529209622
TADBP_HUMAN	1.00	0.64	1397	0.50457	1403	1	6.0	0.004294917680744453
HSP76_HUMAN	2.00	1.84	431	1.34409	342	2	-89.0	-0.20649651972157773
IPO8_HUMAN	2.00	1.84	430	1.34409	341	2	-89.0	-0.2069767441860465
MOAP1_HUMAN	4.00	3.92	130	2.66474	133	1	3.0	0.023076923076923078
TBA3C_HUMAN	2.00	1.84	429	1.34409	340	2	-89.0	-0.20745920745920746
ADT2_HUMAN	2.00	1.84	428	1.34409	339	2	-89.0	-0.20794392523364486
ADT3_HUMAN	2.00	1.84	427	1.34409	338	2	-89.0	-0.20843091334894615
AT1A1_HUMAN	2.00	1.84	426	1.34409	337	2	-89.0	-0.20892018779342722
ENPL_HUMAN	2.00	1.48	531	1.13514	506	2	-25.0	-0.047080979284369114
IPO7_HUMAN	1.00	0.92	1053	0.69158	672	2	-381.0	-0.36182336182336183
UBP7_HUMAN	2.00	1.62	484	1.21169	459	1	-25.0	-0.05165289256198347
1433Z_HUMAN	3.00	3.00	166	2.07760	171	1	5.0	0.030120481927710843
2A5A_HUMAN	1.00	1.00	781	0.63705	1040	1	259.0	0.33162612035851474
HSP74_HUMAN	1.00	0.86	1225	0.55488	1274	1	49.0	0.04
ASC_HUMAN	1.00	1.00	599	0.64373	1000	1	401.0	0.669449081803005
ATN1_HUMAN	2.00	1.91	386	1.26740	419	1	33.0	0.08549222797927461
ATRX_HUMAN	2.00	1.62	492	1.13363	508	1	16.0	0.032520325203252036
1433E_HUMAN	3.00	2.80	215	1.96942	203	1	-12.0	-0.05581395348837209
BIK_HUMAN	2.00	2.00	284	1.29428	396	1	112.0	0.39436619718309857
RASH_HUMAN	4.00	3.66	146	2.40232	154	3	8.0	0.0547945205479452
RHG07_HUMAN	2.00	1.84	446	1.22785	442	1	-4.0	-0.008968609865470852
BIM_HUMAN	3.00	2.61	240	1.81526	242	1	2.0	0.008333333333333333
BLK_HUMAN	2.00	1.98	331	1.28622	408	1	77.0	0.2326283987915408
CALM_HUMAN	6.00	5.56	72	3.78722	74	3	2.0	0.027777777777777776
ICAL_HUMAN	1.00	0.93	1048	0.61707	1128	1	80.0	0.07633587786259542
RIPK2_HUMAN	3.00	2.58	246	1.77479	251	1	5.0	0.02032520325203252
CDC27_HUMAN	1.00	1.00	856	0.65909	935	1	79.0	0.09228971962616822
E2AK2_HUMAN	4.00	3.51	149	2.48906	148	1	-1.0	-0.006711409395973154
IL18_HUMAN	2.00	1.94	372	1.27911	414	1	42.0	0.11290322580645161
TOP1_HUMAN	2.00	1.95	369	1.32660	363	1	-6.0	-0.016260162601626018
TRAF1_HUMAN	4.00	3.88	135	2.72769	128	2	-7.0	-0.05185185185185185
CASPA_HUMAN	5.00	4.66	96	3.12766	102	1	6.0	0.0625
PTN11_HUMAN	3.00	2.97	180	1.95125	209	3	29.0	0.16111111111111112
CBP_HUMAN	2.00	2.00	297	1.37713	314	1	17.0	0.05723905723905724
SL9A3_HUMAN	3.00	2.62	238	1.79430	248	10	10.0	0.04201680672268908
TNR6_HUMAN	11.00	7.99	54	5.98871	50	2	-4.0	-0.07407407407407407
DLG1_HUMAN	5.00	4.77	93	3.12816	101	3	8.0	0.08602150537634409
DLG4_HUMAN	7.00	6.35	62	4.25471	64	3	2.0	0.03225806451612903
FYN_HUMAN	3.00	3.00	169	1.92328	220	3	51.0	0.30177514792899407
GDIB_HUMAN	1.00	1.00	601	0.60613	1153	4	552.0	0.9184692179700499
GNL3_HUMAN	1.00	1.00	602	0.68426	709	1	107.0	0.1777408637873754
GRP78_HUMAN	5.00	4.09	115	2.91793	117	8	2.0	0.017391304347826087
NSF_HUMAN	2.00	1.57	503	1.05013	541	3	38.0	0.07554671968190854
GRIA4_HUMAN	6.00	4.07	116	2.93993	114	3	-2.0	-0.017241379310344827
HIF1A_HUMAN	2.00	1.96	367	1.31081	378	5	11.0	0.02997275204359673
HRK_HUMAN	3.00	3.00	171	1.98061	199	1	28.0	0.16374269005847952
HS90A_HUMAN	4.00	3.78	137	2.55003	142	8	5.0	0.0364963503649635
IL16_HUMAN	4.00	3.50	150	2.34093	157	3	7.0	0.04666666666666667
IMB1_HUMAN	5.00	4.55	99	3.15340	98	3	-1.0	-0.010101010101010102
