Node	Degree	R[0]	R[0] Rank	R[200]	Ranking	Network_Id
CASP4_HUMAN	3.00	2.71	296	0.00024	409	1
NALP1_HUMAN	4.00	3.61	203	0.00029	278	1
HSP71_HUMAN	6.00	5.42	123	0.00041	131	1
AVEN_HUMAN	3.00	2.71	295	0.00023	461	1
BCL2_HUMAN	137.00	123.64	8	0.00957	9	1
TOP1_HUMAN	3.00	2.71	297	0.00026	354	1
UACA_HUMAN	1.00	0.90	871	0.00012	2259	1
B2L10_HUMAN	5.00	4.51	149	0.00034	198	1
BIRC2_HUMAN	6.00	5.42	124	0.00043	108	1
E2F7_HUMAN	1.00	0.90	873	0.00012	2261	1
TFDP1_HUMAN	2.00	1.81	488	0.00020	662	1
TFDP2_HUMAN	1.00	0.90	872	0.00012	2260	1
BAXA_HUMAN	8.00	7.22	78	0.00053	85	1
BAX_HUMAN	83.00	74.91	15	0.00581	13	1
CASP6_HUMAN	4.00	3.61	204	0.00032	237	1
P53_HUMAN	753.00	679.58	1	0.07629	1	1
HSPB1_HUMAN	8.00	7.22	79	0.00060	78	1
DBLOH_HUMAN	4.00	3.61	206	0.00029	275	1
BAD_HUMAN	62.00	55.96	18	0.00408	24	1
1433S_HUMAN	4.00	3.61	205	0.00031	248	1
B2CL2_HUMAN	5.00	4.51	150	0.00037	160	1
B2LA1_HUMAN	3.00	2.71	300	0.00023	465	1
EWS_HUMAN	2.00	1.81	489	0.00020	675	1
1433E_HUMAN	4.00	3.61	207	0.00032	235	1
1433G_HUMAN	6.00	5.42	125	0.00044	104	1
PAK1_HUMAN	3.00	2.71	298	0.00025	393	1
KS6A5_HUMAN	3.00	2.71	299	0.00023	464	1
AKT1_HUMAN	12.00	10.83	56	0.00080	57	1
KS6A1_HUMAN	1.00	0.90	875	0.00012	2270	1
BCLW_HUMAN	2.00	1.81	491	0.00017	805	1
BID_HUMAN	66.00	59.57	17	0.00460	20	1
CANB1_HUMAN	53.00	47.83	25	0.00278	33	1
PP2BC_HUMAN	39.00	35.20	35	0.00199	45	1
PIM3_HUMAN	1.00	0.90	874	0.00012	2269	1
KPCI_HUMAN	3.00	2.71	301	0.00025	399	1
PAK7_HUMAN	2.00	1.81	490	0.00019	702	1
PIM1_HUMAN	1.00	0.90	877	0.00012	2272	1
KS6A2_HUMAN	1.00	0.90	876	0.00012	2271	1
MCL1_HUMAN	6.00	5.42	126	0.00040	136	1
BFL1_HUMAN	2.00	1.81	493	0.00017	806	1
SUMO2_HUMAN	4.00	3.61	209	0.00034	196	1
1433T_HUMAN	4.00	3.61	208	0.00031	249	1
MK08_HUMAN	10.00	9.03	66	0.00067	65	1
KAP0_HUMAN	2.00	1.81	492	0.00019	722	1
RAF1_HUMAN	7.00	6.32	96	0.00043	113	1
HRK_HUMAN	3.00	2.71	302	0.00023	468	1
MK03_HUMAN	8.00	7.22	80	0.00052	86	1
1433Z_HUMAN	5.00	4.51	152	0.00037	163	1
S10AA_HUMAN	1.00	0.90	878	0.00012	2273	1
SYUA_HUMAN	5.00	4.51	151	0.00037	164	1
1433F_HUMAN	2.00	1.81	494	0.00017	809	1
PIM2_HUMAN	1.00	0.90	879	0.00012	2274	1
B2L11_HUMAN	4.00	3.61	212	0.00029	274	1
WASF1_HUMAN	2.00	1.81	495	0.00019	703	1
MP2K5_HUMAN	1.00	0.90	881	0.00012	2276	1
TERA_HUMAN	4.00	3.61	211	0.00034	197	1
KAPCA_HUMAN	5.00	4.51	153	0.00035	193	1
MK09_HUMAN	3.00	2.71	303	0.00027	316	1
PRDX2_HUMAN	1.00	0.90	880	0.00012	2275	1
CDN1A_HUMAN	4.00	3.61	210	0.00032	236	1
PP2BA_HUMAN	89.00	80.32	14	0.00549	16	1
NAF1_HUMAN	3.00	2.71	304	0.00023	447	1
CANB2_HUMAN	30.00	27.07	44	0.00138	51	1
CHP1_HUMAN	38.00	34.29	38	0.00190	46	1
CHP2_HUMAN	34.00	30.68	40	0.00158	49	1
KAP1_HUMAN	1.00	0.90	883	0.00012	2278	1
PRKX_HUMAN	1.00	0.90	882	0.00012	2277	1
NGF_HUMAN	4.00	3.61	213	0.00032	229	1
KS6A3_HUMAN	5.00	4.51	159	0.00032	223	1
MK01_HUMAN	13.00	11.73	53	0.00082	56	1
TNR16_HUMAN	5.00	4.51	158	0.00043	112	1
BBC3B_HUMAN	5.00	4.51	157	0.00037	162	1
BBC3_HUMAN	5.00	4.51	156	0.00037	161	1
BAK_HUMAN	5.00	4.51	155	0.00037	159	1
ERN1_HUMAN	5.00	4.51	154	0.00039	143	1
KCNA3_HUMAN	1.00	0.90	884	0.00012	2190	1
MOAP1_HUMAN	3.00	2.71	306	0.00024	439	1
SHLB1_HUMAN	1.00	0.90	887	0.00012	2193	1
VDAC1_HUMAN	3.00	2.71	305	0.00023	443	1
XRCC6_HUMAN	2.00	1.81	496	0.00020	633	1
ADT1_HUMAN	1.00	0.90	886	0.00012	2192	1
APR_HUMAN	4.00	3.61	214	0.00031	247	1
CRYAA_HUMAN	1.00	0.90	885	0.00012	2191	1
CRYAB_HUMAN	5.00	4.51	160	0.00039	145	1
R144B_HUMAN	3.00	2.71	310	0.00026	359	1
PARK7_HUMAN	5.00	4.51	163	0.00040	142	1
UHRF2_HUMAN	2.00	1.81	500	0.00020	635	1
CH60_HUMAN	4.00	3.61	215	0.00032	232	1
TOM40_HUMAN	25.00	22.56	50	0.00284	32	1
ASC_HUMAN	3.00	2.71	311	0.00026	355	1
NOL3_HUMAN	1.00	0.90	888	0.00012	2194	1
UBC_HUMAN	28.00	25.27	46	0.00178	48	1
MYC_HUMAN	5.00	4.51	161	0.00037	157	1
PRS6A_HUMAN	3.00	2.71	307	0.00026	372	1
HDAC6_HUMAN	2.00	1.81	497	0.00019	716	1
PRS8_HUMAN	3.00	2.71	308	0.00026	373	1
TOM22_HUMAN	2.00	1.81	499	0.00021	563	1
JMY_HUMAN	2.00	1.81	498	0.00020	634	1
TF65_HUMAN	5.00	4.51	162	0.00036	173	1
ASPP2_HUMAN	3.00	2.71	309	0.00026	367	1
ASPP1_HUMAN	1.00	0.90	891	0.00012	2197	1
EP300_HUMAN	4.00	3.61	218	0.00033	215	1
CBP_HUMAN	7.00	6.32	97	0.00051	89	1
SP1_HUMAN	5.00	4.51	164	0.00038	154	1
PO4F1_HUMAN	1.00	0.90	892	0.00012	2198	1
CLUS_HUMAN	2.00	1.81	502	0.00017	820	1
MAX_HUMAN	4.00	3.61	219	0.00032	231	1
PO4F2_HUMAN	1.00	0.90	893	0.00012	2199	1
HUNIN_HUMAN	1.00	0.90	889	0.00012	2195	1
BI1_HUMAN	3.00	2.71	312	0.00023	450	1
XRCC5_HUMAN	2.00	1.81	501	0.00020	636	1
KPCE_HUMAN	4.00	3.61	216	0.00027	345	1
JUN_HUMAN	11.00	9.93	60	0.00072	59	1
UVRAG_HUMAN	1.00	0.90	890	0.00012	2196	1
PIN1_HUMAN	4.00	3.61	217	0.00033	218	1
GSK3B_HUMAN	3.00	2.71	313	0.00027	346	1
TOM20_HUMAN	3.00	2.71	315	0.00027	337	1
APRIO_HUMAN	2.00	1.81	504	0.00021	583	1
PRIO_HUMAN	3.00	2.71	314	0.00026	349	1
IRF3_HUMAN	1.00	0.90	895	0.00012	2200	1
SIR1_HUMAN	2.00	1.81	505	0.00020	637	1
BRD7_HUMAN	3.00	2.71	317	0.00026	357	1
PK3CD_HUMAN	4.00	3.61	222	0.00031	242	1
CTBP1_HUMAN	3.00	2.71	316	0.00027	319	1
PK3CA_HUMAN	6.00	5.42	127	0.00042	119	1
PK3CB_HUMAN	4.00	3.61	221	0.00031	241	1
PK3CG_HUMAN	4.00	3.61	220	0.00031	240	1
TNFA_HUMAN	160.00	144.40	6	0.01279	6	1
PARG_HUMAN	2.00	1.81	503	0.00018	740	1
GPX1_HUMAN	41.00	37.00	33	0.00414	23	1
VEGFA_HUMAN	148.00	133.57	7	0.01213	7	1
BECN1_HUMAN	1.00	0.90	894	0.00012	2201	1
BIK_HUMAN	2.00	1.81	509	0.00018	794	1
BMF_HUMAN	1.00	0.90	901	0.00012	2207	1
BNIPL_HUMAN	1.00	0.90	899	0.00012	2205	1
RAD9A_HUMAN	1.00	0.90	900	0.00012	2206	1
SEC20_HUMAN	1.00	0.90	903	0.00012	2209	1
SMN_HUMAN	173.00	156.13	5	0.01987	4	1
SPNS1_HUMAN	2.00	1.81	510	0.00018	761	1
BFAR_HUMAN	1.00	0.90	902	0.00012	2208	1
PRKN2_HUMAN	4.00	3.61	223	0.00031	256	1
TPIP1_HUMAN	2.00	1.81	508	0.00020	638	1
BIM_HUMAN	2.00	1.81	506	0.00018	792	1
BAG1_HUMAN	2.00	1.81	507	0.00018	793	1
AMRA1_HUMAN	1.00	0.90	897	0.00012	2203	1
PPID_HUMAN	1.00	0.90	898	0.00012	2204	1
CPT1A_HUMAN	1.00	0.90	896	0.00012	2202	1
PP1B_HUMAN	5.00	4.51	165	0.00031	244	1
CAN2_HUMAN	2.00	1.81	515	0.00017	804	1
PPIF_HUMAN	2.00	1.81	514	0.00020	640	1
BAG3_HUMAN	4.00	3.61	228	0.00032	225	1
KEAP1_HUMAN	2.00	1.81	516	0.00020	615	1
MDM4_HUMAN	3.00	2.71	320	0.00026	351	1
NMT2_HUMAN	4.00	3.61	226	0.00036	172	1
CDK1_HUMAN	2.00	1.81	513	0.00020	639	1
BAK2_HUMAN	4.00	3.61	227	0.00029	276	1
BCLF1_HUMAN	1.00	0.90	904	0.00012	2210	1
IRS1_HUMAN	3.00	2.71	319	0.00024	413	1
MYB_HUMAN	4.00	3.61	225	0.00030	259	1
BAG4_HUMAN	4.00	3.61	224	0.00030	265	1
BNIP3_HUMAN	2.00	1.81	511	0.00018	795	1
PSN1_HUMAN	5.00	4.51	166	0.00038	150	1
RTN4_HUMAN	2.00	1.81	512	0.00018	796	1
B2L14_HUMAN	3.00	2.71	318	0.00026	378	1
PP1G_HUMAN	7.00	6.32	98	0.00045	102	1
BNI3L_HUMAN	3.00	2.71	322	0.00026	379	1
VRK2_HUMAN	2.00	1.81	522	0.00020	641	1
PML_HUMAN	6.00	5.42	128	0.00046	99	1
PAXI_HUMAN	3.00	2.71	321	0.00026	376	1
CREB1_HUMAN	5.00	4.51	168	0.00038	149	1
DYL1_HUMAN	2.00	1.81	520	0.00019	704	1
IRS2_HUMAN	2.00	1.81	521	0.00018	797	1
SPB8_HUMAN	1.00	0.90	906	0.00012	2212	1
CISD2_HUMAN	1.00	0.90	907	0.00012	2213	1
CUL3_HUMAN	2.00	1.81	518	0.00019	708	1
RBX1_HUMAN	2.00	1.81	519	0.00018	741	1
BNIP2_HUMAN	4.00	3.61	229	0.00028	287	1
RXRA_HUMAN	2.00	1.81	517	0.00021	535	1
BAP31_HUMAN	5.00	4.51	167	0.00039	144	1
RXRG_HUMAN	1.00	0.90	905	0.00012	2211	1
MTOR_HUMAN	3.00	2.71	324	0.00027	339	1
IL7_HUMAN	1.00	0.90	911	0.00012	2217	1
BCN1_HUMAN	2.00	1.81	525	0.00018	798	1
BLK_HUMAN	3.00	2.71	323	0.00023	448	1
PARP1_HUMAN	5.00	4.51	169	0.00040	141	1
PP2AA_HUMAN	8.00	7.22	82	0.00050	91	1
SODC_HUMAN	44.00	39.71	30	0.00373	27	1
RRAS_HUMAN	2.00	1.81	524	0.00019	690	1
MK11_HUMAN	104.00	93.86	10	0.00671	11	1
KPCA_HUMAN	10.00	9.03	67	0.00068	61	1
BRCA1_HUMAN	4.00	3.61	230	0.00032	233	1
RASN_HUMAN	2.00	1.81	523	0.00019	689	1
IKZF3_HUMAN	1.00	0.90	910	0.00012	2216	1
ZBT17_HUMAN	1.00	0.90	909	0.00012	2215	1
ATG12_HUMAN	1.00	0.90	908	0.00012	2214	1
RASH_HUMAN	8.00	7.22	81	0.00054	84	1
ITM2B_HUMAN	1.00	0.90	916	0.00012	2222	1
MK14_HUMAN	270.00	243.67	3	0.02030	3	1
NR4A1_HUMAN	2.00	1.81	530	0.00020	643	1
RASK_HUMAN	1.00	0.90	915	0.00012	2221	1
CDK2_HUMAN	2.00	1.81	528	0.00020	642	1
AT2A2_HUMAN	2.00	1.81	529	0.00018	733	1
IL7RA_HUMAN	1.00	0.90	914	0.00012	2220	1
FKBP8_HUMAN	2.00	1.81	527	0.00018	748	1
2A5A_HUMAN	2.00	1.81	526	0.00017	811	1
BLID_HUMAN	1.00	0.90	913	0.00012	2219	1
IKKA_HUMAN	4.00	3.61	232	0.00032	221	1
IKKB_HUMAN	5.00	4.51	170	0.00039	148	1
NEMO_HUMAN	4.00	3.61	231	0.00029	267	1
SQSTM_HUMAN	10.00	9.03	68	0.00068	62	1
STAT1_HUMAN	6.00	5.42	129	0.00044	105	1
SF01_HUMAN	1.00	0.90	912	0.00012	2218	1
GATA4_HUMAN	1.00	0.90	923	0.00012	2223	1
ITPR1_HUMAN	1.00	0.90	924	0.00012	2224	1
BNIP1_HUMAN	2.00	1.81	535	0.00018	799	1
IL2RG_HUMAN	3.00	2.71	327	0.00023	449	1
JAK3_HUMAN	4.00	3.61	236	0.00030	264	1
CFLAR_HUMAN	4.00	3.61	237	0.00033	206	1
RTN1_HUMAN	1.00	0.90	925	0.00012	2251	1
PSN2_HUMAN	3.00	2.71	328	0.00024	408	1
B2L12_HUMAN	1.00	0.90	928	0.00012	2254	1
PDCD8_HUMAN	2.00	1.81	536	0.00018	766	1
AIOL_HUMAN	1.00	0.90	926	0.00012	2252	1
ANTR1_HUMAN	1.00	0.90	927	0.00012	2253	1
SIVA_HUMAN	2.00	1.81	538	0.00020	660	1
BAXB_HUMAN	1.00	0.90	930	0.00012	2256	1
Q8WYM0_HUMAN	1.00	0.90	929	0.00012	2255	1
RFA1_HUMAN	2.00	1.81	537	0.00020	646	1
CSK21_HUMAN	3.00	2.71	325	0.00026	356	1
CAV1_HUMAN	7.00	6.32	99	0.00055	82	1
CSK22_HUMAN	2.00	1.81	531	0.00018	754	1
CSK2B_HUMAN	4.00	3.61	233	0.00030	260	1
KC1E_HUMAN	2.00	1.81	532	0.00020	644	1
GRAB_HUMAN	3.00	2.71	326	0.00024	436	1
CRNL1_HUMAN	1.00	0.90	917	0.00012	2225	1
KC1A_HUMAN	4.00	3.61	234	0.00032	228	1
NMT1_HUMAN	2.00	1.81	533	0.00020	645	1
G3P_HUMAN	4.00	3.61	235	0.00033	203	1
PKHM1_HUMAN	1.00	0.90	919	0.00012	2227	1
DPYL1_HUMAN	1.00	0.90	918	0.00012	2226	1
ERG28_HUMAN	1.00	0.90	922	0.00012	2230	1
FBN3_HUMAN	1.00	0.90	921	0.00012	2229	1
GBP2_HUMAN	1.00	0.90	920	0.00012	2228	1
RBM48_HUMAN	2.00	1.81	534	0.00021	537	1
SETB1_HUMAN	2.00	1.81	541	0.00021	538	1
TBB2B_HUMAN	1.00	0.90	935	0.00012	2231	1
TLE1_HUMAN	2.00	1.81	542	0.00021	539	1
ZHX1_HUMAN	2.00	1.81	543	0.00020	647	1
ITCH_HUMAN	2.00	1.81	544	0.00020	648	1
RFA2_HUMAN	1.00	0.90	936	0.00012	2232	1
TNFL6_HUMAN	5.00	4.51	171	0.00035	174	1
CASPA_HUMAN	5.00	4.51	172	0.00038	155	1
TNR1A_HUMAN	132.00	119.13	9	0.00957	8	1
ATR_HUMAN	2.00	1.81	545	0.00020	649	1
CATD_HUMAN	2.00	1.81	546	0.00020	650	1
CASP1_HUMAN	55.00	49.64	23	0.00416	22	1
CASP2_HUMAN	5.00	4.51	173	0.00036	171	1
TRADD_HUMAN	6.00	5.42	131	0.00041	133	1
RIPK1_HUMAN	7.00	6.32	100	0.00047	97	1
CRADD_HUMAN	3.00	2.71	333	0.00023	445	1
M3K5_HUMAN	95.00	85.74	11	0.00656	12	1
EZRI_HUMAN	2.00	1.81	539	0.00018	764	1
FADD_HUMAN	6.00	5.42	130	0.00043	109	1
GDIR1_HUMAN	3.00	2.71	329	0.00025	390	1
MOES_HUMAN	2.00	1.81	540	0.00018	765	1
RHOA_HUMAN	3.00	2.71	330	0.00025	391	1
ATM_HUMAN	4.00	3.61	238	0.00035	194	1
RPB9_HUMAN	1.00	0.90	931	0.00011	2343	1
CALM_HUMAN	13.00	11.73	54	0.00071	60	1
PPIA_HUMAN	3.00	2.71	331	0.00020	677	1
CABP5_HUMAN	1.00	0.90	933	0.00011	2345	1
CABP1_HUMAN	1.00	0.90	932	0.00011	2344	1
PSA7_HUMAN	1.00	0.90	934	0.00011	2346	1
FKB1A_HUMAN	3.00	2.71	332	0.00022	484	1
CALL3_HUMAN	8.00	7.22	84	0.00042	115	1
PLCB4_HUMAN	8.00	7.22	83	0.00040	134	1
PDE4D_HUMAN	3.00	2.71	336	0.00020	678	1
PLCG1_HUMAN	12.00	10.83	57	0.00064	71	1
PLCG2_HUMAN	7.00	6.32	109	0.00035	183	1
CABP2_HUMAN	1.00	0.90	938	0.00011	2347	1
IQCB1_HUMAN	3.00	2.71	335	0.00026	374	1
PLCB1_HUMAN	8.00	7.22	90	0.00041	124	1
PLCB2_HUMAN	11.00	9.93	61	0.00059	79	1
PLCB3_HUMAN	8.00	7.22	89	0.00041	123	1
TRAF3_HUMAN	9.00	8.12	74	0.00056	80	1
NFAT5_HUMAN	7.00	6.32	113	0.00035	186	1
P2BA_HUMAN	1.00	0.90	939	0.00011	2348	1
NFAC1_HUMAN	6.00	5.42	133	0.00033	208	1
NFAC2_HUMAN	7.00	6.32	112	0.00039	147	1
ANC2_HUMAN	8.00	7.22	91	0.00041	129	1
APC10_HUMAN	7.00	6.32	110	0.00035	184	1
APC11_HUMAN	7.00	6.32	111	0.00035	185	1
APC13_HUMAN	7.00	6.32	106	0.00035	180	1
APC1_HUMAN	7.00	6.32	105	0.00035	179	1
APC4_HUMAN	7.00	6.32	104	0.00035	178	1
APC5_HUMAN	7.00	6.32	103	0.00035	177	1
APC7_HUMAN	7.00	6.32	102	0.00035	176	1
CALL5_HUMAN	8.00	7.22	86	0.00042	117	1
CALL6_HUMAN	8.00	7.22	85	0.00042	116	1
CDC16_HUMAN	7.00	6.32	101	0.00035	175	1
CDC20_HUMAN	8.00	7.22	88	0.00042	118	1
CDC23_HUMAN	7.00	6.32	108	0.00035	182	1
CDC26_HUMAN	7.00	6.32	107	0.00035	181	1
CDC27_HUMAN	8.00	7.22	87	0.00042	122	1
PP2AB_HUMAN	4.00	3.61	239	0.00026	377	1
PPR1B_HUMAN	3.00	2.71	334	0.00020	680	1
2AAA_HUMAN	6.00	5.42	132	0.00038	156	1
TB10C_HUMAN	1.00	0.90	937	0.00010	2359	1
NFAC3_HUMAN	4.00	3.61	243	0.00023	467	1
NFAC4_HUMAN	4.00	3.61	244	0.00024	414	1
NLRC4_HUMAN	2.00	1.81	552	0.00021	598	1
NOD1_HUMAN	2.00	1.81	553	0.00018	769	1
CAR16_HUMAN	1.00	0.90	944	0.00012	2041	1
CEBPB_HUMAN	4.00	3.61	242	0.00032	230	1
CAR12_HUMAN	1.00	0.90	945	0.00012	2042	1
CARD4_HUMAN	2.00	1.81	551	0.00018	768	1
NOD2_HUMAN	2.00	1.81	555	0.00019	711	1
LMNA_HUMAN	1.00	0.90	947	0.00012	2044	1
PAAF1_HUMAN	1.00	0.90	948	0.00012	2045	1
PRS6B_HUMAN	2.00	1.81	556	0.00018	755	1
PSD10_HUMAN	2.00	1.81	554	0.00021	599	1
RIPK2_HUMAN	3.00	2.71	340	0.00023	444	1
ATX3_HUMAN	1.00	0.90	946	0.00012	2043	1
NEDD4_HUMAN	6.00	5.42	135	0.00041	126	1
AP2A_HUMAN	3.00	2.71	337	0.00027	331	1
CARD8_HUMAN	2.00	1.81	547	0.00018	767	1
CAR17_HUMAN	1.00	0.90	941	0.00012	2038	1
FGF2_HUMAN	3.00	2.71	338	0.00027	343	1
ANDR_HUMAN	5.00	4.51	174	0.00040	137	1
TAU_HUMAN	4.00	3.61	240	0.00031	246	1
PA24A_HUMAN	6.00	5.42	134	0.00040	139	1
CASPE_HUMAN	1.00	0.90	940	0.00012	2037	1
NALP3_HUMAN	1.00	0.90	943	0.00012	2040	1
IL18_HUMAN	2.00	1.81	549	0.00019	724	1
MEFV_HUMAN	2.00	1.81	550	0.00019	710	1
EGFR_HUMAN	3.00	2.71	339	0.00027	347	1
TRAF2_HUMAN	5.00	4.51	175	0.00036	167	1
IL33_HUMAN	1.00	0.90	942	0.00012	2039	1
ICAL_HUMAN	2.00	1.81	548	0.00019	723	1
IL1B_HUMAN	4.00	3.61	241	0.00032	234	1
PKN1_HUMAN	10.00	9.03	70	0.00063	73	1
TIRAP_HUMAN	1.00	0.90	958	0.00012	2046	1
NF2L2_HUMAN	2.00	1.81	567	0.00019	725	1
IL1A_HUMAN	2.00	1.81	566	0.00019	712	1
ATN1_HUMAN	2.00	1.81	568	0.00019	726	1
PANX1_HUMAN	1.00	0.90	960	0.00012	2048	1
HD_HUMAN	3.00	2.71	343	0.00027	332	1
UCHL5_HUMAN	1.00	0.90	959	0.00012	2047	1
MYD88_HUMAN	2.00	1.81	562	0.00020	665	1
GDIS_HUMAN	3.00	2.71	342	0.00026	358	1
ACINU_HUMAN	1.00	0.90	957	0.00013	1989	1
BIRC4_HUMAN	2.00	1.81	561	0.00018	758	1
BIRC6_HUMAN	2.00	1.81	565	0.00018	759	1
VIME_HUMAN	4.00	3.61	245	0.00034	201	1
GDIR2_HUMAN	2.00	1.81	564	0.00020	656	1
GRAP1_HUMAN	2.00	1.81	563	0.00018	744	1
ROCK1_HUMAN	2.00	1.81	560	0.00020	655	1
BIRC3_HUMAN	5.00	4.51	176	0.00036	170	1
DFFA_HUMAN	1.00	0.90	953	0.00013	1985	1
PI51A_HUMAN	1.00	0.90	954	0.00013	1986	1
SLK_HUMAN	1.00	0.90	955	0.00013	1987	1
DSG3_HUMAN	1.00	0.90	956	0.00013	1988	1
A4_HUMAN	8.00	7.22	92	0.00055	81	1
CDC42_HUMAN	10.00	9.03	69	0.00066	67	1
GELS_HUMAN	1.00	0.90	950	0.00013	1982	1
GOGA3_HUMAN	1.00	0.90	951	0.00013	1983	1
KPCZ_HUMAN	3.00	2.71	341	0.00024	415	1
GORS1_HUMAN	1.00	0.90	949	0.00013	1981	1
AKAP8_HUMAN	1.00	0.90	952	0.00013	1984	1
RAD51_HUMAN	2.00	1.81	559	0.00021	586	1
MLH1_HUMAN	2.00	1.81	557	0.00018	772	1
BCAR1_HUMAN	2.00	1.81	558	0.00020	654	1
RABE1_HUMAN	2.00	1.81	575	0.00020	627	1
PTBP1_HUMAN	1.00	0.90	971	0.00013	2000	1
SPTN1_HUMAN	7.00	6.32	114	0.00044	103	1
BLM_HUMAN	2.00	1.81	576	0.00021	591	1
ADDA_HUMAN	1.00	0.90	972	0.00013	2001	1
LYN_HUMAN	3.00	2.71	349	0.00024	404	1
EIF3J_HUMAN	1.00	0.90	973	0.00013	2002	1
E2AK2_HUMAN	4.00	3.61	249	0.00034	200	1
HNRPU_HUMAN	4.00	3.61	247	0.00032	239	1
MEF2A_HUMAN	4.00	3.61	246	0.00029	281	1
MET_HUMAN	3.00	2.71	347	0.00027	311	1
RFC1_HUMAN	2.00	1.81	573	0.00021	590	1
MYL3_HUMAN	1.00	0.90	970	0.00013	1999	1
RASA1_HUMAN	3.00	2.71	348	0.00028	292	1
SRF_HUMAN	4.00	3.61	248	0.00029	273	1
VAV_HUMAN	2.00	1.81	574	0.00020	657	1
GATA1_HUMAN	1.00	0.90	964	0.00013	1993	1
KPCT_HUMAN	1.00	0.90	965	0.00013	1994	1
PSIP1_HUMAN	1.00	0.90	966	0.00013	1995	1
JIP3_HUMAN	3.00	2.71	346	0.00023	459	1
UBE4B_HUMAN	2.00	1.81	572	0.00021	589	1
DFFB_HUMAN	1.00	0.90	967	0.00013	1996	1
AIFM1_HUMAN	1.00	0.90	968	0.00013	1997	1
PKN2_HUMAN	1.00	0.90	969	0.00013	1998	1
PSME3_HUMAN	2.00	1.81	569	0.00021	587	1
BIRC7_HUMAN	2.00	1.81	570	0.00018	760	1
BIRC5_HUMAN	3.00	2.71	344	0.00025	403	1
PYR1_HUMAN	1.00	0.90	961	0.00013	1990	1
SRBP2_HUMAN	2.00	1.81	571	0.00021	588	1
STK24_HUMAN	1.00	0.90	962	0.00013	1991	1
CADH1_HUMAN	3.00	2.71	345	0.00027	344	1
IF2A_HUMAN	1.00	0.90	963	0.00013	1992	1
USO1_HUMAN	2.00	1.81	579	0.00021	593	1
M3K14_HUMAN	3.00	2.71	358	0.00024	412	1
DCTN1_HUMAN	3.00	2.71	357	0.00023	481	1
HMGB1_HUMAN	3.00	2.71	356	0.00027	317	1
PDE5A_HUMAN	1.00	0.90	990	0.00013	2019	1
FBW1A_HUMAN	3.00	2.71	355	0.00027	333	1
PDE10_HUMAN	1.00	0.90	989	0.00013	2018	1
HEY2_HUMAN	1.00	0.90	988	0.00013	2017	1
IF4G2_HUMAN	1.00	0.90	987	0.00013	2016	1
SYSM_HUMAN	1.00	0.90	986	0.00013	2015	1
